NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL24A1	2739	0.44060593843460083	-0.16784903	No	
row_1	COL6A6	2753	0.43729445338249207	-0.15100619	No	
row_2	COL4A4	3898	0.2569194734096527	-0.21815741	No	
row_3	COL18A1	4574	0.18007728457450867	-0.2566244	No	
row_4	COL15A1	4894	0.1458887904882431	-0.27233988	No	
row_5	LOXL3	4914	0.14360947906970978	-0.26780736	No	
row_6	COL4A3	5147	0.12445032596588135	-0.27849308	No	
row_7	MMP13	7409	-0.04434645175933838	-0.42999417	No	
row_8	CD151	7460	-0.04834001883864403	-0.43142495	No	
row_9	COL9A2	7713	-0.06783755123615265	-0.44576126	No	
row_10	COL6A3	7715	-0.06801992654800415	-0.4430721	No	
row_11	LAMA3	7843	-0.077583909034729	-0.44853827	No	
row_12	TLL1	9048	-0.1732161045074463	-0.5231502	No	
row_13	LAMC2	9237	-0.1894489824771881	-0.52821815	No	
row_14	COL4A5	9934	-0.25063151121139526	-0.56524926	No	
row_15	COL9A3	9950	-0.25148022174835205	-0.5560734	No	
row_16	COL8A1	10321	-0.2874133586883545	-0.5695105	Yes	
row_17	COL10A1	10342	-0.28944987058639526	-0.55913466	Yes	
row_18	LOX	10361	-0.29135075211524963	-0.5485462	Yes	
row_19	COL8A2	10618	-0.31824082136154175	-0.55300444	Yes	
row_20	COL5A1	10746	-0.3337032198905945	-0.5480897	Yes	
row_21	COL11A2	10807	-0.3406335413455963	-0.5383513	Yes	
row_22	COL1A1	10816	-0.34147337079048157	-0.52505326	Yes	
row_23	COL5A2	11004	-0.36068764328956604	-0.52311283	Yes	
row_24	PCOLCE	11303	-0.39627230167388916	-0.527256	Yes	
row_25	COL7A1	11315	-0.3978608250617981	-0.51187587	Yes	
row_26	COL3A1	11354	-0.4022524356842041	-0.4981484	Yes	
row_27	LAMB3	11442	-0.41357627511024475	-0.48728418	Yes	
row_28	BMP1	11487	-0.4199216365814209	-0.47324732	Yes	
row_29	MMP3	11488	-0.42011553049087524	-0.45621938	Yes	
row_30	LOXL1	11553	-0.42737460136413574	-0.44323647	Yes	
row_31	ITGA6	11642	-0.4420393109321594	-0.4312864	Yes	
row_32	CTSV	11823	-0.46822240948677063	-0.4245128	Yes	
row_33	COL1A2	11920	-0.48001545667648315	-0.4115659	Yes	
row_34	COL4A1	11928	-0.48104438185691833	-0.392543	Yes	
row_35	CTSS	12124	-0.5092982053756714	-0.38512155	Yes	
row_36	COL5A3	12240	-0.5276632308959961	-0.37153164	Yes	
row_37	COL6A1	12252	-0.5304992198944092	-0.35077545	Yes	
row_38	COL6A2	12748	-0.613140881061554	-0.35948548	Yes	
row_39	PXDN	12859	-0.6378217935562134	-0.34109163	Yes	
row_40	COL4A2	13004	-0.6676823496818542	-0.32379276	Yes	
row_41	LOXL2	13226	-0.7163155674934387	-0.3097434	Yes	
row_42	CTSB	13845	-0.8848385810852051	-0.3157806	Yes	
row_43	COL11A1	13921	-0.9073801636695862	-0.2840881	Yes	
row_44	MMP7	13945	-0.9148169159889221	-0.2485685	Yes	
row_45	PLEC	14130	-1.0041049718856812	-0.22034591	Yes	
row_46	ITGB4	14161	-1.0187816619873047	-0.18108708	Yes	
row_47	LOXL4	14416	-1.1580827236175537	-0.15136962	Yes	
row_48	COL27A1	14486	-1.2197239398956299	-0.10661051	Yes	
row_49	MMP9	14681	-1.4943180084228516	-0.0591968	Yes	
row_50	CTSL	14735	-1.6562269926071167	0.0043393094	Yes	
