NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD40LG	2104	0.5696424841880798	-0.11915575	No	
row_1	CARD9	3238	0.3519229590892792	-0.18146138	No	
row_2	ZP3	3266	0.3479433059692383	-0.16896813	No	
row_3	RNF168	3750	0.27603036165237427	-0.19034207	No	
row_4	FCER1A	3971	0.24979661405086517	-0.19497027	No	
row_5	EXOSC3	4249	0.21962445974349976	-0.20470387	No	
row_6	IGHA2	4978	0.1385936290025711	-0.24834114	No	
row_7	SLA2	6084	0.04778751730918884	-0.3212689	No	
row_8	EXOSC6	6317	0.030486837029457092	-0.33573842	No	
row_9	LIG4	7331	-0.038397859781980515	-0.4028171	No	
row_10	CD81	7340	-0.0390048511326313	-0.40175366	No	
row_11	IL2RB	7542	-0.053908489644527435	-0.4131579	No	
row_12	RNF8	7841	-0.07751570641994476	-0.43016487	No	
row_13	CD27	8158	-0.10214777290821075	-0.4473778	No	
row_14	FCGR2B	8416	-0.12136530876159668	-0.45980075	No	
row_15	HSPD1	9159	-0.1824692338705063	-0.50258076	No	
row_16	MSH2	9468	-0.20891810953617096	-0.5148562	No	
row_17	PCYT1A	9488	-0.21049734950065613	-0.5074788	No	
row_18	CSF2RB	10333	-0.2885628938674927	-0.55280477	No	
row_19	C1R	10893	-0.3490965962409973	-0.576322	No	
row_20	IGHA1	11154	-0.3776754140853882	-0.57839715	No	
row_21	BATF	11337	-0.40027645230293274	-0.57425517	No	
row_22	MSH6	11741	-0.4545160233974457	-0.5828594	Yes	
row_23	FCGR3A	11792	-0.4626479148864746	-0.56720316	Yes	
row_24	FCER1G	12075	-0.5008917450904846	-0.56569713	Yes	
row_25	IGKC	12344	-0.5456949472427368	-0.56139785	Yes	
row_26	CD19	12548	-0.5777251124382019	-0.5513745	Yes	
row_27	TLR8	12649	-0.5938497185707092	-0.5337061	Yes	
row_28	FCGR1A	12862	-0.638800859451294	-0.5217786	Yes	
row_29	IGLC2	12930	-0.6514561772346497	-0.49950215	Yes	
row_30	MAD2L2	13204	-0.7100312113761902	-0.48877677	Yes	
row_31	IGHG3	13236	-0.7177714109420776	-0.46133044	Yes	
row_32	CD74	13267	-0.7257182002067566	-0.4334892	Yes	
row_33	IGHG1	13389	-0.7585324048995972	-0.41046497	Yes	
row_34	IGLL5	13514	-0.7910720705986023	-0.38630456	Yes	
row_35	FCGR2C	13778	-0.8624343872070312	-0.36862764	Yes	
row_36	C1QA	13781	-0.8627760410308838	-0.33324656	Yes	
row_37	IGHG4	13853	-0.8885731101036072	-0.3014802	Yes	
row_38	IGLC1	13884	-0.8955289125442505	-0.26664862	Yes	
row_39	C1QC	14095	-0.9850082397460938	-0.24033365	Yes	
row_40	IGLC3	14105	-0.9869758486747742	-0.20031425	Yes	
row_41	FCGR2A	14131	-1.00790274143219	-0.16051784	Yes	
row_42	FCGR3B	14297	-1.0902262926101685	-0.12682147	Yes	
row_43	IGHG2	14482	-1.2172073125839233	-0.08918567	Yes	
row_44	C1QB	14484	-1.2189524173736572	-0.0390746	Yes	
row_45	FCRLB	14666	-1.4661990404129028	0.009014425	Yes	
