NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WRN	3340	0.3346773684024811	-0.20177615	No	
row_1	BRCA2	4962	0.1402372270822525	-0.30131304	No	
row_2	DONSON	5111	0.12668004631996155	-0.30214423	No	
row_3	RTEL1	5409	0.10211016237735748	-0.3148408	No	
row_4	ZPR1	6152	0.041785500943660736	-0.36202767	No	
row_5	GMNN	8662	-0.14191336929798126	-0.5215405	No	
row_6	DNA2	9105	-0.1784258931875229	-0.53851694	No	
row_7	GINS1	9641	-0.22430850565433502	-0.5584606	No	
row_8	GINS3	9888	-0.24614854156970978	-0.557262	No	
row_9	CDC45	10875	-0.34718477725982666	-0.5988189	No	
row_10	MCM6	12224	-0.5243121981620789	-0.6520322	Yes	
row_11	LIG1	12623	-0.5900422930717468	-0.63618624	Yes	
row_12	ZNF830	12695	-0.6034070253372192	-0.59724075	Yes	
row_13	MCM3	13169	-0.7027804851531982	-0.5782964	Yes	
row_14	RECQL5	13235	-0.7175495028495789	-0.53066885	Yes	
row_15	CDT1	13319	-0.7401309609413147	-0.4826222	Yes	
row_16	UPF1	13335	-0.7442004680633545	-0.42967847	Yes	
row_17	PCNA	13618	-0.8180932998657227	-0.38944688	Yes	
row_18	MCM4	13863	-0.8903028964996338	-0.34140792	Yes	
row_19	BLM	14072	-0.9728607535362244	-0.28494668	Yes	
row_20	MCM2	14176	-1.0265798568725586	-0.21748435	Yes	
row_21	POLA1	14223	-1.0448654890060425	-0.14483862	Yes	
row_22	FEN1	14406	-1.1484026908874512	-0.073889926	Yes	
row_23	TK1	14614	-1.384982943534851	0.0125202965	Yes	
