NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH26	4	5.288272857666016	0.4151517	Yes	
row_1	CDHR3	20	3.673945426940918	0.70274526	Yes	
row_2	CDH6	1145	0.8699837327003479	0.695059	No	
row_3	CDH4	1947	0.6051303744316101	0.68841505	No	
row_4	CDH11	3779	0.27208274602890015	0.5859385	No	
row_5	CDH13	4128	0.2331259846687317	0.58071285	No	
row_6	CTNNB1	6414	0.02204148843884468	0.42788535	No	
row_7	CTNND1	6505	0.016115615144371986	0.42306364	No	
row_8	PLEKHA7	7913	-0.08332554250955582	0.33443886	No	
row_9	CDH1	7985	-0.08916410803794861	0.3366407	No	
row_10	CDH5	8137	-0.10054483264684677	0.33432528	No	
row_11	CDH2	8545	-0.1314029097557068	0.31711793	No	
row_12	FER	9292	-0.19493944942951202	0.2819715	No	
row_13	CDH3	9546	-0.21610617637634277	0.28183472	No	
row_14	MMP24	11015	-0.3623370826244354	0.21100171	No	
row_15	CDH24	12507	-0.5713561177253723	0.15503253	No	
