NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DERL1	111	2.1605494022369385	0.17848195	Yes	
row_1	DNAJC18	124	2.092529058456421	0.3578044	Yes	
row_2	DNAJB14	314	1.5924452543258667	0.48210582	Yes	
row_3	ATXN3	510	1.323850393295288	0.5828796	Yes	
row_4	UBE2W	773	1.0861886739730835	0.6586628	Yes	
row_5	CUL3	1878	0.6243504285812378	0.63773936	No	
row_6	UBR5	4492	0.1902993619441986	0.477388	No	
row_7	AKIRIN2	5567	0.0886862576007843	0.41238132	No	
row_8	RNF126	7440	-0.04693212732672691	0.28980663	No	
row_9	DNAJB12	7743	-0.06982576847076416	0.27539143	No	
row_10	KLHL15	9886	-0.24598000943660736	0.1516899	No	
row_11	CAV1	9972	-0.2539530396461487	0.16780221	No	
row_12	VCP	12656	-0.5952019095420837	0.03757211	No	
row_13	STUB1	12744	-0.6116505861282349	0.08434133	No	
row_14	UBR4	12844	-0.6340673565864563	0.13222864	No	
