NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSBG1	51	2.775803804397583	0.113898	Yes	
row_1	AACS	102	2.2296438217163086	0.20477375	Yes	
row_2	ACSS3	130	2.071974754333496	0.29054168	Yes	
row_3	CBR4	207	1.8226451873779297	0.3624496	Yes	
row_4	FAR1	331	1.5732181072235107	0.42062885	Yes	
row_5	ELOVL6	438	1.411428451538086	0.47311968	Yes	
row_6	SLC27A2	925	0.9837270975112915	0.48178855	Yes	
row_7	HMGCLL1	1128	0.876593828201294	0.5051654	Yes	
row_8	ALOX15B	1822	0.6442466378211975	0.48546052	Yes	
row_9	FAR2	2182	0.5526732206344604	0.48450834	Yes	
row_10	ACSBG2	2200	0.5486322641372681	0.5065513	Yes	
row_11	GGT1	2211	0.5455619692802429	0.52893865	Yes	
row_12	GGT5	2514	0.48379820585250854	0.5289356	Yes	
row_13	FASN	2549	0.47645625472068787	0.5467757	Yes	
row_14	PPT2	2678	0.45108136534690857	0.55717576	Yes	
row_15	ALOX12	2928	0.4028637409210205	0.5573411	Yes	
row_16	ELOVL5	3255	0.3499097228050232	0.550052	No	
row_17	ACSF3	3519	0.3086734712123871	0.54528695	No	
row_18	PPT1	3720	0.2796902060508728	0.543564	No	
row_19	GGT6	5459	0.09804103523492813	0.4299822	No	
row_20	ACAT1	7274	-0.03501904010772705	0.3085879	No	
row_21	ACSL1	7334	-0.0387570895254612	0.30622998	No	
row_22	PAM	7861	-0.0791194811463356	0.2739453	No	
row_23	GCDH	8007	-0.09073623269796371	0.2679595	No	
row_24	HMGCL	8392	-0.11916032433509827	0.24698626	No	
row_25	ACSL5	8526	-0.13005568087100983	0.24347562	No	
row_26	ELOVL7	9034	-0.1723657101392746	0.2164201	No	
row_27	ACSL6	9229	-0.18890148401260376	0.21126533	No	
row_28	GGT7	9323	-0.1970984786748886	0.21329851	No	
row_29	ACSL3	9356	-0.1997685730457306	0.21957655	No	
row_30	ELOVL2	9536	-0.21498660743236542	0.21654062	No	
row_31	HSD17B12	9834	-0.24016788601875305	0.20657633	No	
row_32	ACACA	10986	-0.35851919651031494	0.14376825	No	
row_33	ELOVL1	11688	-0.44786757230758667	0.11521917	No	
row_34	ACSL4	12205	-0.5214369297027588	0.10231169	No	
row_35	TECR	12873	-0.6416335701942444	0.084257506	No	
row_36	ALOX5	14301	-1.0912810564041138	0.033732995	No	
