NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXO6	469	1.3761814832687378	0.10069671	Yes	
row_1	ABCA6	501	1.3341716527938843	0.22698742	Yes	
row_2	ATXN3	510	1.323850393295288	0.3538412	Yes	
row_3	SREBF1	589	1.2517720460891724	0.46902233	Yes	
row_4	FOXO3	1115	0.8810904622077942	0.5182869	Yes	
row_5	FOXO1	1553	0.721411943435669	0.5581399	Yes	
row_6	SMAD4	1625	0.6966066360473633	0.62037075	Yes	
row_7	PLXNA4	2194	0.5496855974197388	0.63483447	Yes	
row_8	FBXO32	2975	0.39289432764053345	0.61986536	No	
row_9	HDAC1	3553	0.3032165467739105	0.6100022	No	
row_10	HDAC2	4748	0.1616477370262146	0.54476744	No	
row_11	SIRT3	5349	0.10729365050792694	0.51449424	No	
row_12	SMAD3	5507	0.09334098547697067	0.5128533	No	
row_13	SMAD2	5540	0.09090940654277802	0.51943636	No	
row_14	SOD2	6129	0.043442465364933014	0.48383066	No	
row_15	FOXO4	7467	-0.048736102879047394	0.39805436	No	
row_16	PCK1	8249	-0.10873271524906158	0.35567254	No	
row_17	NR3C1	8391	-0.11893006414175034	0.3575767	No	
row_18	SIN3A	9555	-0.21686798334121704	0.2997533	No	
row_19	CAT	10017	-0.25778675079345703	0.29336742	No	
row_20	PPARGC1A	10571	-0.31312310695648193	0.28608152	No	
