NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL15	2545	0.4782213270664215	-0.1613491	No	
row_1	SP110	2799	0.4256419241428375	-0.16825172	No	
row_2	TXNIP	3177	0.36016422510147095	-0.18516116	No	
row_3	IRF9	4091	0.23813042044639587	-0.24143519	No	
row_4	GMPR	4309	0.21282640099525452	-0.2510349	No	
row_5	IFITM2	4442	0.19777998328208923	-0.25522333	No	
row_6	TRIM5	4988	0.13781379163265228	-0.2889199	No	
row_7	CD47	5164	0.12299208343029022	-0.29783708	No	
row_8	TRIM14	5448	0.09880871325731277	-0.31467614	No	
row_9	CMTR1	5452	0.09854041039943695	-0.31249863	No	
row_10	LAMP3	5718	0.07549649477005005	-0.3286781	No	
row_11	OGFR	5842	0.06642041355371475	-0.33542955	No	
row_12	GBP2	5857	0.06469045579433441	-0.33481738	No	
row_13	ISG20	5930	0.059126295149326324	-0.33828017	No	
row_14	IL7	6221	0.03760834410786629	-0.35707375	No	
row_15	EPSTI1	6442	0.020114289596676826	-0.37153435	No	
row_16	IRF2	7311	-0.03712606430053711	-0.42960855	No	
row_17	B2M	7868	-0.0797409638762474	-0.46545586	No	
row_18	SELL	7968	-0.08801241964101791	-0.47005495	No	
row_19	NUB1	8144	-0.10108748823404312	-0.4795015	No	
row_20	PSME2	8261	-0.10936345905065536	-0.48473957	No	
row_21	IRF1	8753	-0.1500832587480545	-0.51447093	No	
row_22	PLSCR1	8980	-0.1684339940547943	-0.52575487	No	
row_23	BST2	8994	-0.1693081557750702	-0.5225466	No	
row_24	RNF31	9442	-0.2070820927619934	-0.5479111	No	
row_25	PNPT1	9642	-0.2243528664112091	-0.55600935	No	
row_26	HELZ2	9850	-0.24183006584644318	-0.5642288	No	
row_27	NMI	9912	-0.24833393096923828	-0.56237185	No	
row_28	CASP8	9923	-0.249433696269989	-0.55702347	No	
row_29	UBE2L6	10270	-0.28320369124412537	-0.5736866	No	
row_30	GBP4	10432	-0.29946377873420715	-0.577388	No	
row_31	CXCL11	10474	-0.3037061393260956	-0.5728342	No	
row_32	EIF2AK2	10698	-0.32786163687705994	-0.58006155	No	
row_33	C1S	10939	-0.35326239466667175	-0.58783007	Yes	
row_34	TRAFD1	10970	-0.3573116958141327	-0.5812335	Yes	
row_35	STAT2	11130	-0.3746303915977478	-0.58298254	Yes	
row_36	HERC6	11211	-0.3851154148578644	-0.57911104	Yes	
row_37	IFITM3	11246	-0.389628142118454	-0.5720052	Yes	
row_38	TAP1	11452	-0.41470813751220703	-0.575911	Yes	
row_39	IFI44L	11470	-0.4174555242061615	-0.56697774	Yes	
row_40	PARP14	11471	-0.41774386167526245	-0.55688256	Yes	
row_41	UBA7	11504	-0.42197316884994507	-0.54885924	Yes	
row_42	SLC25A28	11799	-0.4645264744758606	-0.5576077	Yes	
row_43	MVB12A	11966	-0.4868795871734619	-0.5571197	Yes	
row_44	TDRD7	11996	-0.4905388057231903	-0.5472356	Yes	
row_45	OASL	12297	-0.5377348065376282	-0.5546226	Yes	
row_46	IRF7	12306	-0.5391557216644287	-0.54213685	Yes	
row_47	SAMD9	12425	-0.5569786429405212	-0.5366938	Yes	
row_48	RTP4	12449	-0.5623353719711304	-0.524667	Yes	
row_49	CNP	12466	-0.564967930316925	-0.51210105	Yes	
row_50	IFI27	12497	-0.5695996284484863	-0.5003743	Yes	
row_51	ADAR	12505	-0.570995569229126	-0.48705125	Yes	
row_52	CSF1	12538	-0.5763198137283325	-0.475298	Yes	
row_53	PARP12	12670	-0.5986033082008362	-0.46973222	Yes	
row_54	DHX58	12891	-0.6439645290374756	-0.46911687	Yes	
row_55	USP18	12923	-0.6498884558677673	-0.45551783	Yes	
row_56	IFIT3	13023	-0.6734935641288757	-0.4459682	Yes	
row_57	OAS1	13042	-0.677065908908844	-0.43082917	Yes	
row_58	CD74	13267	-0.7257182002067566	-0.42850992	Yes	
row_59	BATF2	13294	-0.7345372438430786	-0.41252553	Yes	
row_60	CMPK2	13304	-0.7380292415618896	-0.39530182	Yes	
row_61	SAMD9L	13352	-0.7479614615440369	-0.38041976	Yes	
row_62	TMEM140	13455	-0.7764732837677002	-0.36858535	Yes	
row_63	RIPK2	13696	-0.8418223857879639	-0.36454737	Yes	
row_64	IFITM1	13749	-0.8540104031562805	-0.34744224	Yes	
row_65	LAP3	13783	-0.8633785247802734	-0.32881987	Yes	
row_66	PROCR	13953	-0.9160692095756531	-0.31816393	Yes	
row_67	IFIH1	13961	-0.9174588918685913	-0.29646823	Yes	
row_68	ISG15	13974	-0.9239586591720581	-0.27495515	Yes	
row_69	IFIT2	13988	-0.9310572743415833	-0.2533385	Yes	
row_70	MX1	14022	-0.9444989562034607	-0.23275577	Yes	
row_71	MOV10	14055	-0.9619631171226501	-0.21168306	Yes	
row_72	IFI44	14197	-1.0383384227752686	-0.19617008	Yes	
row_73	RSAD2	14270	-1.0719423294067383	-0.1751572	Yes	
row_74	TRIM21	14279	-1.079542636871338	-0.14961253	Yes	
row_75	IFI35	14367	-1.1261059045791626	-0.12830983	Yes	
row_76	CCRL2	14449	-1.183647632598877	-0.10520895	Yes	
row_77	TRIM25	14456	-1.1898207664489746	-0.07686342	Yes	
row_78	LGALS3BP	14592	-1.3476085662841797	-0.05346899	Yes	
row_79	LY6E	14613	-1.384124755859375	-0.02137908	Yes	
row_80	IFI30	14630	-1.4047832489013672	0.011481824	Yes	
