NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTHFD2	800	1.0655035972595215	-0.03927349	No	
row_1	IL6	1537	0.7275317907333374	-0.07904843	No	
row_2	CD69	1889	0.6210359930992126	-0.09406618	No	
row_3	IL15	2545	0.4782213270664215	-0.13190348	No	
row_4	SP110	2799	0.4256419241428375	-0.14304538	No	
row_5	SELP	2908	0.40646615624427795	-0.14456137	No	
row_6	SPPL2A	3079	0.37432563304901123	-0.15077479	No	
row_7	TXNIP	3177	0.36016422510147095	-0.15220705	No	
row_8	NAMPT	3191	0.3579854369163513	-0.1479342	No	
row_9	CXCL9	3298	0.34140610694885254	-0.1502515	No	
row_10	CFH	3740	0.27734309434890747	-0.17637013	No	
row_11	PELI1	3919	0.25490978360176086	-0.18485138	No	
row_12	EIF4E3	3939	0.25362059473991394	-0.18249278	No	
row_13	IRF9	4091	0.23813042044639587	-0.18937202	No	
row_14	KLRK1	4295	0.21463985741138458	-0.20014109	No	
row_15	MT2A	4297	0.21437478065490723	-0.19711898	No	
row_16	IFITM2	4442	0.19777998328208923	-0.20410188	No	
row_17	CD40	4485	0.1910506635904312	-0.20421599	No	
row_18	P2RY14	4656	0.17132659256458282	-0.21335581	No	
row_19	CASP3	4703	0.16629381477832794	-0.21409997	No	
row_20	ARID5B	4779	0.15864989161491394	-0.2169348	No	
row_21	STAT4	4882	0.14682631194591522	-0.22178397	No	
row_22	BTG1	4910	0.144367054104805	-0.22154668	No	
row_23	FGL2	5053	0.13107721507549286	-0.22935456	No	
row_24	ST8SIA4	5132	0.1251727044582367	-0.23287687	No	
row_25	NOD1	5378	0.10488302260637283	-0.24809644	No	
row_26	TRIM14	5448	0.09880871325731277	-0.25138417	No	
row_27	CMTR1	5452	0.09854041039943695	-0.2501685	No	
row_28	STAT1	5511	0.09297274798154831	-0.25278917	No	
row_29	ARL4A	5547	0.0904940739274025	-0.25387484	No	
row_30	VAMP5	5568	0.08864148706197739	-0.25396284	No	
row_31	PSMB2	5623	0.08322761207818985	-0.2564508	No	
