NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD40LG	2104	0.5696424841880798	-0.11909987	No	
row_1	CARD9	3238	0.3519229590892792	-0.18137175	No	
row_2	ZP3	3266	0.3479433059692383	-0.16885012	No	
row_3	RNF168	3750	0.27603036165237427	-0.19019945	No	
row_4	FCER1A	3971	0.24979661405086517	-0.19480637	No	
row_5	EXOSC3	4249	0.21962445974349976	-0.2045209	No	
row_6	IGHA2	4978	0.1385936290025711	-0.24814357	No	
row_7	EXOSC6	6317	0.030486837029457092	-0.3375672	No	
row_8	LIG4	7331	-0.038397859781980515	-0.40463814	No	
row_9	CD81	7340	-0.0390048511326313	-0.4035715	No	
row_10	IL2RB	7542	-0.053908489644527435	-0.41497046	No	
row_11	RNF8	7841	-0.07751570641994476	-0.43196973	No	
row_12	CD27	8158	-0.10214777290821075	-0.44917294	No	
row_13	FCGR2B	8416	-0.12136530876159668	-0.46158487	No	
row_14	HSPD1	9159	-0.1824692338705063	-0.50434667	No	
row_15	MSH2	9468	-0.20891810953617096	-0.51660377	No	
row_16	PCYT1A	9488	-0.21049734950065613	-0.5092091	No	
row_17	CSF2RB	10333	-0.2885628938674927	-0.5545078	No	
row_18	C1R	10893	-0.3490965962409973	-0.5779942	No	
row_19	IGHA1	11154	-0.3776754140853882	-0.5800375	No	
row_20	BATF	11337	-0.40027645230293274	-0.5758622	No	
row_21	MSH6	11741	-0.4545160233974457	-0.5844277	Yes	
row_22	FCGR3A	11792	-0.4626479148864746	-0.5687337	Yes	
row_23	FCER1G	12075	-0.5008917450904846	-0.56718576	Yes	
row_24	IGKC	12344	-0.5456949472427368	-0.56284094	Yes	
row_25	CD19	12548	-0.5777251124382019	-0.5527698	Yes	
row_26	TLR8	12649	-0.5938497185707092	-0.5350528	Yes	
row_27	FCGR1A	12862	-0.638800859451294	-0.52307236	Yes	
row_28	IGLC2	12930	-0.6514561772346497	-0.5007428	Yes	
row_29	MAD2L2	13204	-0.7100312113761902	-0.48995858	Yes	
row_30	IGHG3	13236	-0.7177714109420776	-0.46245387	Yes	
row_31	CD74	13267	-0.7257182002067566	-0.43455362	Yes	
row_32	IGHG1	13389	-0.7585324048995972	-0.41146728	Yes	
row_33	IGLL5	13514	-0.7910720705986023	-0.3872421	Yes	
row_34	FCGR2C	13778	-0.8624343872070312	-0.369494	Yes	
row_35	C1QA	13781	-0.8627760410308838	-0.3340429	Yes	
row_36	IGHG4	13853	-0.8885731101036072	-0.30220413	Yes	
row_37	IGLC1	13884	-0.8955289125442505	-0.26729974	Yes	
row_38	C1QC	14095	-0.9850082397460938	-0.24090387	Yes	
row_39	IGLC3	14105	-0.9869758486747742	-0.20080435	Yes	
row_40	FCGR2A	14131	-1.00790274143219	-0.16092604	Yes	
row_41	FCGR3B	14297	-1.0902262926101685	-0.12714048	Yes	
row_42	IGHG2	14482	-1.2172073125839233	-0.08940505	Yes	
row_43	C1QB	14484	-1.2189524173736572	-0.03919508	Yes	
row_44	FCRLB	14666	-1.4661990404129028	0.009013745	Yes	
