NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C4A	4575	0.18005943298339844	-0.29504624	No	
row_1	FCN1	8394	-0.119389608502388	-0.5437546	No	
row_2	CFD	8715	-0.14690470695495605	-0.55359614	No	
row_3	C3	10090	-0.2652818262577057	-0.62523055	No	
row_4	CFB	10113	-0.26886463165283203	-0.60510826	No	
row_5	C1R	10893	-0.3490965962409973	-0.62975144	No	
row_6	C1S	10939	-0.35326239466667175	-0.6044015	No	
row_7	IGKC	12344	-0.5456949472427368	-0.65552664	Yes	
row_8	IGLC2	12930	-0.6514561772346497	-0.642742	Yes	
row_9	IGHG3	13236	-0.7177714109420776	-0.60568374	Yes	
row_10	IGHG1	13389	-0.7585324048995972	-0.55499816	Yes	
row_11	C1QA	13781	-0.8627760410308838	-0.51210314	Yes	
row_12	IGHG4	13853	-0.8885731101036072	-0.44548517	Yes	
row_13	IGLC1	13884	-0.8955289125442505	-0.3755343	Yes	
row_14	C1QC	14095	-0.9850082397460938	-0.31056905	Yes	
row_15	IGLC3	14105	-0.9869758486747742	-0.23184714	Yes	
row_16	C2	14181	-1.029933214187622	-0.1541376	Yes	
row_17	IGHG2	14482	-1.2172073125839233	-0.076597646	Yes	
row_18	C1QB	14484	-1.2189524173736572	0.021311242	Yes	
