NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IP6K2	434	1.4194706678390503	0.019584443	No	
row_1	ABCE1	1340	0.7951340675354004	-0.0143372165	No	
row_2	PTPN11	3498	0.311721533536911	-0.149869	No	
row_3	IRF9	4091	0.23813042044639587	-0.1817973	No	
row_4	IFNAR1	4395	0.2021813988685608	-0.19536588	No	
row_5	IFITM2	4442	0.19777998328208923	-0.19165564	No	
row_6	EGR1	4500	0.1895516812801361	-0.18897562	No	
row_7	STAT1	5511	0.09297274798154831	-0.25426733	No	
row_8	GBP2	5857	0.06469045579433441	-0.27543265	No	
row_9	ISG20	5930	0.059126295149326324	-0.27827412	No	
row_10	IRF3	6308	0.03157072141766548	-0.30275357	No	
row_11	SAMHD1	6884	-0.008874296210706234	-0.341446	No	
row_12	IRF2	7311	-0.03712606430053711	-0.36905703	No	
row_13	IRF4	7917	-0.0836634412407875	-0.4072014	No	
row_14	KPNA1	8335	-0.11464614421129227	-0.4315249	No	
row_15	IRF1	8753	-0.1500832587480545	-0.4546246	No	
row_16	BST2	8994	-0.1693081557750702	-0.46505553	No	
row_17	IFIT5	9172	-0.18444322049617767	-0.47069082	No	
row_18	JAK1	9907	-0.24791531264781952	-0.5119122	No	
row_19	IRF8	10326	-0.28775689005851746	-0.53032535	No	
row_20	RNASEL	10528	-0.3089284598827362	-0.53328943	Yes	
row_21	PTPN1	10651	-0.3226615786552429	-0.53042114	Yes	
row_22	EIF2AK2	10698	-0.32786163687705994	-0.52221864	Yes	
row_23	SOCS3	10916	-0.3508590757846832	-0.5248199	Yes	
row_24	PSMB8	11090	-0.3713778257369995	-0.5237283	Yes	
row_25	STAT2	11130	-0.3746303915977478	-0.5134359	Yes	
row_26	RPS27A	11142	-0.37562453746795654	-0.50121015	Yes	
row_27	IFITM3	11246	-0.389628142118454	-0.49474055	Yes	
row_28	OAS3	12062	-0.4994843304157257	-0.532768	Yes	
row_29	OAS2	12104	-0.5050952434539795	-0.5181058	Yes	
row_30	OASL	12297	-0.5377348065376282	-0.51255786	Yes	
row_31	IRF7	12306	-0.5391557216644287	-0.4944812	Yes	
row_32	UBC	12389	-0.5511167049407959	-0.48101047	Yes	
row_33	IFIT1	12452	-0.5628204345703125	-0.46577907	Yes	
row_34	IFI27	12497	-0.5695996284484863	-0.44909275	Yes	
row_35	ADAR	12505	-0.570995569229126	-0.42984867	Yes	
row_36	SOCS1	12687	-0.6022055149078369	-0.42132825	Yes	
row_37	USP18	12923	-0.6498884558677673	-0.41482362	Yes	
row_38	IFIT3	13023	-0.6734935641288757	-0.3982797	Yes	
row_39	OAS1	13042	-0.677065908908844	-0.3761187	Yes	
row_40	IRF6	13189	-0.7060928344726562	-0.36163673	Yes	
row_41	IFI6	13315	-0.7392056584358215	-0.34458694	Yes	
row_42	TYK2	13356	-0.7491008043289185	-0.3214304	Yes	
row_43	XAF1	13385	-0.7576701641082764	-0.29716402	Yes	
row_44	UBA52	13478	-0.7821628451347351	-0.27639255	Yes	
row_45	KPNB1	13543	-0.7992059588432312	-0.25313345	Yes	
row_46	IRF5	13680	-0.8383309245109558	-0.23340653	Yes	
row_47	MX2	13684	-0.8391567468643188	-0.20463046	Yes	
row_48	IFITM1	13749	-0.8540104031562805	-0.17947873	Yes	
row_49	ISG15	13974	-0.9239586591720581	-0.16276327	Yes	
row_50	IFIT2	13988	-0.9310572743415833	-0.13149177	Yes	
row_51	MX1	14022	-0.9444989562034607	-0.10111254	Yes	
row_52	UBB	14242	-1.0580910444259644	-0.07942581	Yes	
row_53	RSAD2	14270	-1.0719423294067383	-0.044238497	Yes	
row_54	IFI35	14367	-1.1261059045791626	-0.011860563	Yes	
row_55	PTPN6	14458	-1.189919114112854	0.023128046	Yes	
