NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXP1	2652	0.4564116895198822	-0.15418893	No	
row_1	IFNG	2763	0.4353044033050537	-0.13741198	No	
row_2	CX3CL1	3218	0.3545214533805847	-0.14842603	No	
row_3	TMEM106A	3741	0.27703601121902466	-0.16835722	No	
row_4	AGER	4590	0.17845088243484497	-0.21585123	No	
row_5	MAPT	5067	0.13023458421230316	-0.24083732	No	
row_6	APP	6668	0.005552203860133886	-0.34887803	No	
row_7	C5AR1	7844	-0.07759498059749603	-0.42412895	No	
row_8	SNCA	7949	-0.08633901178836823	-0.42636663	No	
row_9	CX3CR1	8185	-0.10386350005865097	-0.4365002	No	
row_10	JAK2	8257	-0.10922253131866455	-0.43522963	No	
row_11	CD93	8769	-0.1510365605354309	-0.4614282	No	
row_12	TNF	9402	-0.20326074957847595	-0.49291426	No	
row_13	IFNGR1	9603	-0.22151118516921997	-0.4941302	No	
row_14	TLR4	9737	-0.23206116259098053	-0.49022186	No	
row_15	NMI	9912	-0.24833393096923828	-0.48818436	No	
row_16	CRTC3	10648	-0.32230204343795776	-0.5200204	No	
row_17	FCGR3A	11792	-0.4626479148864746	-0.571675	No	
row_18	SLC11A1	12580	-0.583266019821167	-0.592509	Yes	
row_19	AIF1	13119	-0.6934597492218018	-0.5903485	Yes	
row_20	TYROBP	13196	-0.7076410055160522	-0.5561127	Yes	
row_21	PLCG2	13328	-0.7424195408821106	-0.52366596	Yes	
row_22	C1QA	13781	-0.8627760410308838	-0.50625867	Yes	
row_23	SYK	13810	-0.8725493550300598	-0.4595948	Yes	
row_24	ITGB2	13843	-0.884035050868988	-0.41256258	Yes	
row_25	DYSF	13857	-0.8889768719673157	-0.3639687	Yes	
row_26	CLU	14085	-0.9788081645965576	-0.3248672	Yes	
row_27	TREM2	14243	-1.0582700967788696	-0.2766031	Yes	
row_28	GRN	14303	-1.0920593738555908	-0.2198221	Yes	
row_29	TLR1	14305	-1.0922414064407349	-0.15910329	Yes	
row_30	IFI35	14367	-1.1261059045791626	-0.10056295	Yes	
row_31	ITGAM	14398	-1.144608974456787	-0.03889358	Yes	
row_32	SBNO2	14451	-1.1855779886245728	0.023566034	Yes	
