NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HNRNPA2B1	358	1.5299649238586426	0.06494759	Yes	
row_1	SNIP1	458	1.3865066766738892	0.13906504	Yes	
row_2	NCBP2	497	1.3385634422302246	0.21451707	Yes	
row_3	TARBP2	531	1.303816795349121	0.2882822	Yes	
row_4	AGO4	595	1.2378381490707397	0.35617068	Yes	
row_5	PUM1	1315	0.8037541508674622	0.3543513	Yes	
row_6	METTL3	1328	0.7983394265174866	0.40007386	Yes	
row_7	DICER1	1463	0.7531622648239136	0.43490475	Yes	
row_8	AGO3	1809	0.6485744714736938	0.44935647	Yes	
row_9	SMAD1	1831	0.6416903138160706	0.4853388	Yes	
row_10	PRKRA	2080	0.575086236000061	0.50207293	Yes	
row_11	ZC3H7A	2089	0.5726988911628723	0.5349138	Yes	
row_12	BCDIN3D	2134	0.5625396370887756	0.5647256	Yes	
row_13	NCBP1	2900	0.40847012400627136	0.53675145	No	
row_14	SMAD3	5507	0.09334098547697067	0.36578938	No	
row_15	AGO1	5524	0.0919773131608963	0.37006766	No	
row_16	SMAD2	5540	0.09090940654277802	0.37435135	No	
row_17	SRSF3	6332	0.029494334012269974	0.32252693	No	
row_18	PUM2	6511	0.01581648923456669	0.31139988	No	
row_19	PUS10	7788	-0.07320348918437958	0.22929308	No	
row_20	AGO2	8424	-0.12188281863927841	0.19341375	No	
row_21	DGCR8	9645	-0.22469700872898102	0.12392815	No	
row_22	ZC3H7B	10793	-0.3388347625732422	0.066037044	No	
row_23	SRRT	12289	-0.5362885594367981	-0.0039010602	No	
row_24	ADAR	12505	-0.570995569229126	0.014828447	No	
row_25	DDX5	13131	-0.6964173913002014	0.013115403	No	
row_26	DROSHA	14743	-1.7108651399612427	0.0037906924	No	
