NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WRN	3340	0.3346773684024811	-0.20168711	No	
row_1	BRCA2	4962	0.1402372270822525	-0.3011857	No	
row_2	DONSON	5111	0.12668004631996155	-0.3019883	No	
row_3	RTEL1	5409	0.10211016237735748	-0.314661	No	
row_4	GMNN	8662	-0.14191336929798126	-0.5244119	No	
row_5	DNA2	9105	-0.1784258931875229	-0.541347	No	
row_6	GINS1	9641	-0.22430850565433502	-0.5612388	No	
row_7	GINS3	9888	-0.24614854156970978	-0.55998486	No	
row_8	CDC45	10875	-0.34718477725982666	-0.60146075	No	
row_9	MCM6	12224	-0.5243121981620789	-0.65455234	Yes	
row_10	LIG1	12623	-0.5900422930717468	-0.63857454	Yes	
row_11	ZNF830	12695	-0.6034070253372192	-0.59949577	Yes	
row_12	MCM3	13169	-0.7027804851531982	-0.5803944	Yes	
row_13	RECQL5	13235	-0.7175495028495789	-0.53260845	Yes	
row_14	CDT1	13319	-0.7401309609413147	-0.48439837	Yes	
row_15	UPF1	13335	-0.7442004680633545	-0.43129057	Yes	
row_16	PCNA	13618	-0.8180932998657227	-0.39087743	Yes	
row_17	MCM4	13863	-0.8903028964996338	-0.3426412	Yes	
row_18	BLM	14072	-0.9728607535362244	-0.2859646	Yes	
row_19	MCM2	14176	-1.0265798568725586	-0.21827562	Yes	
row_20	POLA1	14223	-1.0448654890060425	-0.14539944	Yes	
row_21	FEN1	14406	-1.1484026908874512	-0.07419687	Yes	
row_22	TK1	14614	-1.384982943534851	0.012519469	Yes	
