NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MED24	21	3.6736860275268555	0.111571684	Yes	
row_1	CDK12	27	3.3662331104278564	0.21477179	Yes	
row_2	MED1	31	3.2414162158966064	0.31426838	Yes	
row_3	CCNT1	50	2.784278631210327	0.39868698	Yes	
row_4	HMGN1	428	1.4226452112197876	0.41687697	Yes	
row_5	NCBP2	497	1.3385634422302246	0.453437	Yes	
row_6	CCNK	539	1.2961697578430176	0.49052423	Yes	
row_7	MED4	786	1.077048420906067	0.5069687	Yes	
row_8	MED6	1277	0.8201968669891357	0.49896482	No	
row_9	CCNT2	1705	0.6782602667808533	0.4908679	No	
row_10	MED28	2383	0.5099582672119141	0.46063942	No	
row_11	MED17	2565	0.47383227944374084	0.46293828	No	
row_12	MED23	2633	0.46012747287750244	0.47254705	No	
row_13	CDK9	2806	0.42475661635398865	0.47394684	No	
row_14	NCBP1	2900	0.40847012400627136	0.4802034	No	
row_15	ELL3	3163	0.3617013692855835	0.47355995	No	
row_16	LEO1	3886	0.2587227523326874	0.43255204	No	
row_17	MED25	3956	0.25198304653167725	0.43562302	No	
row_18	CDC73	4483	0.19117623567581177	0.40583014	No	
row_19	SUPT16H	4806	0.1559222787618637	0.3887881	No	
row_20	PWWP2A	4911	0.14401498436927795	0.38616452	No	
row_21	TCERG1	5445	0.09915858507156372	0.3530666	No	
row_22	KAT7	5773	0.07162021100521088	0.3330925	No	
row_23	SUPT5H	5888	0.06204864755272865	0.32726958	No	
row_24	EAPP	5950	0.05753180384635925	0.32490215	No	
row_25	MED31	6212	0.038031160831451416	0.308371	No	
row_26	MED8	6224	0.03745461255311966	0.30877703	No	
row_27	MED30	6688	0.004603357054293156	0.27751815	No	
row_28	PARP1	6716	0.002907942049205303	0.27577645	No	
row_29	MED18	6879	-0.008601768873631954	0.26505426	No	
row_30	ELL	6892	-0.008963546715676785	0.26451612	No	
row_31	MED22	7635	-0.06124326214194298	0.21607772	No	
row_32	MED11	7675	-0.0648370310664177	0.21542701	No	
row_33	SUPT6H	7934	-0.08525636792182922	0.20055188	No	
row_34	CDK13	8084	-0.096956767141819	0.19342898	No	
row_35	MED19	8322	-0.11370852589607239	0.1808532	No	
row_36	MED27	8451	-0.12401603907346725	0.1759868	No	
row_37	SCAF8	9110	-0.1790495216846466	0.13686875	No	
row_38	MED15	9359	-0.19981783628463745	0.1261955	No	
row_39	MED9	9404	-0.20335455238819122	0.12946627	No	
row_40	ERCC6	9763	-0.23424659669399261	0.112391844	No	
row_41	MED29	9930	-0.2502251863479614	0.108830266	No	
row_42	ELL2	9962	-0.25281813740730286	0.114504084	No	
row_43	MED26	11106	-0.3723160922527313	0.048438042	No	
row_44	MED7	11416	-0.40983179211616516	0.040087465	No	
row_45	MED20	11808	-0.465877503156662	0.027899547	No	
row_46	MED14	11844	-0.4705609083175659	0.03999946	No	
row_47	ZMYND8	12034	-0.49586841464042664	0.042433564	No	
row_48	MED21	12380	-0.5497766137123108	0.03594593	No	
row_49	MED10	12521	-0.5737874507904053	0.04409984	No	
row_50	PWWP2B	12597	-0.5857011079788208	0.057028472	No	
row_51	LDB1	13075	-0.6848658919334412	0.04574375	No	
row_52	SUPT4H1	13082	-0.6861941814422607	0.066442914	No	
row_53	MED16	13191	-0.7065087556838989	0.08084933	No	
row_54	BRD4	13943	-0.9147687554359436	0.058053426	No	
