NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MED24	21	3.6736860275268555	0.12517352	Yes	
row_1	CDK12	27	3.3662331104278564	0.24083653	Yes	
row_2	MED1	31	3.2414162158966064	0.35233384	Yes	
row_3	CCNT1	50	2.784278631210327	0.44706133	Yes	
row_4	NCBP2	497	1.3385634422302246	0.46295974	Yes	
row_5	CCNK	539	1.2961697578430176	0.5048474	Yes	
row_6	MED4	786	1.077048420906067	0.52528954	Yes	
row_7	MED6	1277	0.8201968669891357	0.5203426	No	
row_8	MED28	2383	0.5099582672119141	0.463021	No	
row_9	MED17	2565	0.47383227944374084	0.4670816	No	
row_10	MED23	2633	0.46012747287750244	0.47839668	No	
row_11	CDK9	2806	0.42475661635398865	0.4813761	No	
row_12	NCBP1	2900	0.40847012400627136	0.48914883	No	
row_13	ELL3	3163	0.3617013692855835	0.4838553	No	
row_14	LEO1	3886	0.2587227523326874	0.44383514	No	
row_15	MED25	3956	0.25198304653167725	0.44784188	No	
row_16	CDC73	4483	0.19117623567581177	0.41877854	No	
row_17	PWWP2A	4911	0.14401498436927795	0.39480007	No	
row_18	TCERG1	5445	0.09915858507156372	0.3620913	No	
row_19	EAPP	5950	0.05753180384635925	0.32991365	No	
row_20	MED31	6212	0.038031160831451416	0.3135341	No	
row_21	MED8	6224	0.03745461255311966	0.31407925	No	
row_22	MED30	6688	0.004603357054293156	0.28285655	No	
row_23	MED18	6879	-0.008601768873631954	0.27027512	No	
row_24	ELL	6892	-0.008963546715676785	0.26977068	No	
row_25	MED22	7635	-0.06124326214194298	0.2215897	No	
row_26	MED11	7675	-0.0648370310664177	0.22118066	No	
row_27	SUPT6H	7934	-0.08525636792182922	0.20663185	No	
row_28	CDK13	8084	-0.096956767141819	0.19987407	No	
row_29	MED19	8322	-0.11370852589607239	0.18772908	No	
row_30	MED27	8451	-0.12401603907346725	0.18332711	No	
row_31	MED15	9359	-0.19981783628463745	0.12873806	No	
row_32	MED9	9404	-0.20335455238819122	0.1327635	No	
row_33	MED29	9930	-0.2502251863479614	0.10580281	No	
row_34	ELL2	9962	-0.25281813740730286	0.11241391	No	
row_35	MED26	11106	-0.3723160922527313	0.047773577	No	
row_36	MED7	11416	-0.40983179211616516	0.04095309	No	
row_37	MED20	11808	-0.465877503156662	0.030506149	No	
row_38	MED14	11844	-0.4705609083175659	0.04434965	No	
row_39	ZMYND8	12034	-0.49586841464042664	0.048627414	No	
row_40	MED21	12380	-0.5497766137123108	0.04418947	No	
row_41	MED10	12521	-0.5737874507904053	0.054473493	No	
row_42	PWWP2B	12597	-0.5857011079788208	0.06957365	No	
row_43	LDB1	13075	-0.6848658919334412	0.060844216	No	
row_44	MED16	13191	-0.7065087556838989	0.077396326	No	
row_45	BRD4	13943	-0.9147687554359436	0.05801822	No	
