NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZC3H10	308	1.6084612607955933	0.15310347	Yes	
row_1	TARBP2	531	1.303816795349121	0.27908057	Yes	
row_2	PUM1	1315	0.8037541508674622	0.31302616	Yes	
row_3	ZFP36	1511	0.7368667125701904	0.37951925	Yes	
row_4	IL6	1537	0.7275317907333374	0.4565041	Yes	
row_5	PRKRA	2080	0.575086236000061	0.48202595	Yes	
row_6	BCDIN3D	2134	0.5625396370887756	0.53927404	Yes	
row_7	BMP4	2193	0.5498382449150085	0.59481025	Yes	
row_8	TIAL1	4153	0.23051221668720245	0.48720315	No	
row_9	STAT3	5749	0.07319724559783936	0.38720998	No	
row_10	TRUB1	6040	0.05084247514605522	0.37308836	No	
row_11	PUM2	6511	0.01581648923456669	0.34300122	No	
row_12	RIPK1	6550	0.013015528209507465	0.34183785	No	
row_13	FXR1	6784	-0.0015840667765587568	0.32624567	No	
row_14	FMR1	7139	-0.025602266192436218	0.30506468	No	
row_15	DGCR8	9645	-0.22469700872898102	0.15988937	No	
row_16	ZSWIM8	11564	-0.4297596514225006	0.076602936	No	
row_17	TGFB1	12482	-0.5673577189445496	0.075918615	No	
row_18	ELAVL1	13347	-0.746884286403656	0.0982342	No	
