NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MED1	31	3.2414162158966064	0.22699362	Yes	
row_1	SGPP1	136	2.0553555488586426	0.36522108	Yes	
row_2	ROCK1	775	1.0852259397506714	0.39874858	Yes	
row_3	ERRFI1	1191	0.851540744304657	0.43085003	Yes	
row_4	PRKCH	1194	0.8507894277572632	0.49084535	Yes	
row_5	ZFP36	1511	0.7368667125701904	0.52154124	Yes	
row_6	ZBED2	1528	0.7294071912765503	0.57201034	Yes	
row_7	ABCA12	3676	0.2850356996059418	0.44687212	No	
row_8	NUMA1	4844	0.1515551060438156	0.37861472	No	
row_9	SRSF6	5336	0.10774409770965576	0.35300463	No	
row_10	CYP27B1	5450	0.09860040992498398	0.35232684	No	
row_11	ZFP36L1	6323	0.029951848089694977	0.2954371	No	
row_12	ROCK2	6731	0.0013591116294264793	0.26799223	No	
row_13	VDR	6939	-0.011772619560360909	0.25481695	No	
row_14	NCOA3	8274	-0.11050517857074738	0.17235774	No	
row_15	EXTL3	8992	-0.16913676261901855	0.13579363	No	
row_16	AQP3	10487	-0.30512288212776184	0.056262374	No	
row_17	ETV4	11195	-0.38397887349128723	0.0355592	No	
row_18	TRIM16	11597	-0.4330841898918152	0.039033063	No	
row_19	HOXA7	11908	-0.47841766476631165	0.05186873	No	
row_20	FOXC1	13595	-0.8119287490844727	-0.0048356443	No	
row_21	PKP1	14487	-1.2202175855636597	0.021112511	No	
