NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNASE1	2342	0.5174674987792969	-0.12609267	No	
row_1	STXBP2	3474	0.31479412317276	-0.18291561	No	
row_2	CD84	4588	0.17855890095233917	-0.24706338	No	
row_3	MAVS	5352	0.1068674847483635	-0.29201347	No	
row_4	VAMP7	5753	0.07306232303380966	-0.31450996	No	
row_5	ARG1	6902	-0.009464053437113762	-0.39163107	No	
row_6	CX3CR1	8185	-0.10386350005865097	-0.4719036	No	
row_7	SPHK2	8286	-0.11140266805887222	-0.47168705	No	
row_8	FCGR2B	8416	-0.12136530876159668	-0.47280893	No	
row_9	CCR2	8641	-0.14003366231918335	-0.4791912	No	
row_10	LGALS9	10011	-0.2574693560600281	-0.55572057	No	
row_11	VAMP8	10479	-0.30444401502609253	-0.56824267	No	
row_12	FGR	10511	-0.30745625495910645	-0.55106056	No	
row_13	TICAM1	10837	-0.34311309456825256	-0.55154496	No	
row_14	SNX4	11401	-0.407878577709198	-0.5640794	No	
row_15	GAB2	13053	-0.6791403293609619	-0.63325584	Yes	
row_16	STAP1	13065	-0.681974470615387	-0.59123373	Yes	
row_17	STX4	13127	-0.6959943771362305	-0.55171716	Yes	
row_18	TYROBP	13196	-0.7076410055160522	-0.5119441	Yes	
row_19	SPI1	13320	-0.7402864098548889	-0.47384712	Yes	
row_20	FES	13765	-0.8571372628211975	-0.4501527	Yes	
row_21	SYK	13810	-0.8725493550300598	-0.3984135	Yes	
row_22	ITGB2	13843	-0.884035050868988	-0.3451417	Yes	
row_23	CD300A	14081	-0.9775123596191406	-0.2998855	Yes	
row_24	ITGAM	14398	-1.144608974456787	-0.2494986	Yes	
row_25	UNC13D	14657	-1.4551130533218384	-0.17571355	Yes	
row_26	LYN	14669	-1.4681980609893799	-0.08438713	Yes	
row_27	F2RL1	14678	-1.4849214553833008	0.008191109	Yes	
