NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINB6	2355	0.515487551689148	-0.13458802	No	
row_1	VTN	2511	0.4841943681240082	-0.12165894	No	
row_2	ECM1	2673	0.4518713653087616	-0.110700354	No	
row_3	CRB2	3884	0.2589740455150604	-0.18013643	No	
row_4	RECK	4953	0.14052055776119232	-0.2456849	No	
row_5	SERPINB9	5471	0.09713494777679443	-0.27600712	No	
row_6	PSENEN	5615	0.08391864597797394	-0.28163356	No	
row_7	STAT3	5749	0.07319724559783936	-0.28710133	No	
row_8	TIMP3	5874	0.0630962923169136	-0.2924482	No	
row_9	SPOCK1	6553	0.012802002020180225	-0.33775747	No	
row_10	CSTA	6863	-0.007155334111303091	-0.35834336	No	
row_11	MBP	7237	-0.03254927322268486	-0.38203597	No	
row_12	SERPINB1	8621	-0.1387082189321518	-0.4690107	No	
row_13	TANK	9247	-0.1900424212217331	-0.50215346	No	
row_14	MAPK12	9833	-0.2401290386915207	-0.53016293	No	
row_15	BIN1	10286	-0.2845715880393982	-0.5470124	No	
row_16	DDRGK1	10469	-0.3026861846446991	-0.5446951	No	
row_17	SERPINE1	10580	-0.3147584795951843	-0.5369162	No	
row_18	SPOCK2	10641	-0.3210635185241699	-0.5254452	No	
row_19	RCN3	11786	-0.4609638452529907	-0.58063656	Yes	
row_20	TIMP2	11835	-0.46960535645484924	-0.56116503	Yes	
row_21	CR1	12156	-0.5142109394073486	-0.55796087	Yes	
row_22	SERPINB8	12160	-0.515080451965332	-0.5332406	Yes	
row_23	UBXN1	12469	-0.5651203393936157	-0.52676016	Yes	
row_24	LRP1	12550	-0.5781018733978271	-0.50420654	Yes	
row_25	VCP	12656	-0.5952019095420837	-0.48251897	Yes	
row_26	CTSH	12890	-0.6438413262367249	-0.4671488	Yes	
row_27	CST3	13151	-0.6998518705368042	-0.45089743	Yes	
row_28	FURIN	13812	-0.8732011914253235	-0.4533547	Yes	
row_29	ANXA8	14207	-1.0403157472610474	-0.42970645	Yes	
row_30	PRSS22	14241	-1.0565595626831055	-0.38081753	Yes	
row_31	PRELID1	14248	-1.061647891998291	-0.3298534	Yes	
row_32	GRN	14303	-1.0920593738555908	-0.28066927	Yes	
row_33	CSTB	14318	-1.0983080863952637	-0.22847314	Yes	
row_34	ATP13A2	14514	-1.2447761297225952	-0.181451	Yes	
row_35	TIMP1	14534	-1.2715729475021362	-0.1212097	Yes	
row_36	A2ML1	14583	-1.3356302976608276	-0.059833337	Yes	
row_37	GAPDH	14699	-1.537536859512329	0.006774126	Yes	
