NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BDKRB2	439	1.4111820459365845	0.13874912	Yes	
row_1	MYH11	621	1.2127326726913452	0.27126735	Yes	
row_2	ROCK1	775	1.0852259397506714	0.39045957	Yes	
row_3	SMTN	1114	0.8816753625869751	0.47283497	Yes	
row_4	PTGER3	1557	0.720285177230835	0.5289074	Yes	
row_5	EDNRB	1961	0.6038812398910522	0.5737236	Yes	
row_6	HTR2B	2645	0.4585939943790436	0.58224946	Yes	
row_7	TIFAB	2664	0.4534171521663666	0.6351567	Yes	
row_8	MYLK	4456	0.19577498733997345	0.5373331	No	
row_9	APBB1	4693	0.16732637584209442	0.54133743	No	
row_10	CHRNB2	4778	0.15882426500320435	0.55461246	No	
row_11	SLC8A1	4909	0.14465108513832092	0.5630829	No	
row_12	EDNRA	5015	0.1341623216867447	0.57199293	No	
row_13	ATP2B4	6019	0.05218451842665672	0.5103511	No	
row_14	SULF1	6073	0.04846165329217911	0.5125497	No	
row_15	EDN1	6092	0.04730502888560295	0.51697856	No	
row_16	APBB2	6704	0.0036853370256721973	0.47607324	No	
row_17	ROCK2	6731	0.0013591116294264793	0.4744761	No	
row_18	PIK3C2A	7718	-0.0680883452296257	0.41588312	No	
row_19	TPCN2	7771	-0.07166723161935806	0.42091945	No	
row_20	KCNMA1	9509	-0.21297863125801086	0.3288035	No	
row_21	SULF2	9865	-0.24371947348117828	0.33387458	No	
