NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSBG1	51	2.775803804397583	0.13263388	Yes	
row_1	DIP2A	171	1.9027619361877441	0.21786046	Yes	
row_2	CBR4	207	1.8226451873779297	0.30484796	Yes	
row_3	PPCS	256	1.7190234661102295	0.38587484	Yes	
row_4	ELOVL6	438	1.411428451538086	0.44281423	Yes	
row_5	PDHB	817	1.051581621170044	0.46877018	Yes	
row_6	SLC27A2	925	0.9837270975112915	0.50975245	Yes	
row_7	ACSBG2	2200	0.5486322641372681	0.45037064	No	
row_8	FASN	2549	0.47645625472068787	0.45016193	No	
row_9	PPT2	2678	0.45108136534690857	0.46360826	No	
row_10	MLYCD	2876	0.41275832056999207	0.47050288	No	
row_11	ELOVL5	3255	0.3499097228050232	0.46205837	No	
row_12	ACSF3	3519	0.3086734712123871	0.45938033	No	
row_13	PPT1	3720	0.2796902060508728	0.4595479	No	
row_14	DLD	4012	0.24575255811214447	0.45188883	No	
row_15	ACSS1	5444	0.09919137507677078	0.35984	No	
row_16	DLAT	6644	0.006920257117599249	0.27897924	No	
row_17	ACAT1	7274	-0.03501904010772705	0.23809823	No	
row_18	ACSL1	7334	-0.0387570895254612	0.23600268	No	
row_19	GCDH	8007	-0.09073623269796371	0.1949412	No	
row_20	ACSL5	8526	-0.13005568087100983	0.16623677	No	
row_21	PDHX	8670	-0.1425567865371704	0.16354142	No	
row_22	ELOVL7	9034	-0.1723657101392746	0.14740838	No	
row_23	ACSL6	9229	-0.18890148401260376	0.14353126	No	
row_24	ACSL3	9356	-0.1997685730457306	0.14479208	No	
row_25	ELOVL2	9536	-0.21498660743236542	0.14320967	No	
row_26	HSD17B12	9834	-0.24016788601875305	0.13487047	No	
row_27	ACACA	10986	-0.35851919651031494	0.07449804	No	
row_28	ELOVL1	11688	-0.44786757230758667	0.04898146	No	
row_29	PDHA1	11971	-0.48748695850372314	0.05378328	No	
row_30	ACSL4	12205	-0.5214369297027588	0.06356798	No	
row_31	TECR	12873	-0.6416335701942444	0.049853645	No	
row_32	ACLY	13536	-0.7977596521377563	0.044132233	No	
row_33	ACSS2	13702	-0.8431000113487244	0.0742921	No	
