NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	81	-0.596367	-2.3613536	0.0	0.0	0.0	3862	tags=59%, list=26%, signal=80%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	157	-0.5017662	-2.2138667	0.0	0.008597217	0.011	4531	tags=56%, list=31%, signal=80%	
NUCLEAR DNA REPLICATION%GOBP%GO:0033260	NUCLEAR DNA REPLICATION%GOBP%GO:0033260	Details ...	23	-0.6926836	-2.1282916	0.0	0.015094418	0.028	2577	tags=61%, list=17%, signal=74%	
B CELL MEDIATED IMMUNITY%GOBP%GO:0019724	B CELL MEDIATED IMMUNITY%GOBP%GO:0019724	Details ...	46	-0.60156983	-2.1246605	0.0	0.012508363	0.031	3060	tags=52%, list=21%, signal=66%	
IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE%GOBP%GO:0016064	IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE%GOBP%GO:0016064	Details ...	45	-0.603175	-2.1179092	0.0	0.011568526	0.036	3060	tags=53%, list=21%, signal=67%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.5	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.5	Details ...	51	-0.58115983	-2.103148	0.0	0.011731338	0.044	4480	tags=69%, list=30%, signal=98%	
CELL CYCLE DNA REPLICATION%GOBP%GO:0044786	CELL CYCLE DNA REPLICATION%GOBP%GO:0044786	Details ...	24	-0.6900479	-2.0994852	0.0	0.011390171	0.049	2577	tags=58%, list=17%, signal=71%	
MHC CLASS II ANTIGEN PRESENTATION%REACTOME%R-HSA-2132295.5	MHC CLASS II ANTIGEN PRESENTATION%REACTOME%R-HSA-2132295.5	Details ...	87	-0.52135193	-2.0945818	0.0	0.011540839	0.057	3364	tags=53%, list=23%, signal=68%	
REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002886	REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002886	Details ...	28	-0.6758449	-2.0880759	0.0	0.012002931	0.067	1748	tags=46%, list=12%, signal=53%	
GLYCOGENOSIS, TYPE IB%SMPDB%SMP0000573	GLYCOGENOSIS, TYPE IB%SMPDB%SMP0000573	Details ...	19	-0.7071296	-2.0878654	0.0	0.010802638	0.067	2108	tags=58%, list=14%, signal=67%	
MACROPHAGE ACTIVATION%GOBP%GO:0042116	MACROPHAGE ACTIVATION%GOBP%GO:0042116	Details ...	33	-0.6289416	-2.080863	0.0	0.011104287	0.073	1682	tags=42%, list=11%, signal=48%	
TRIOSEPHOSPHATE ISOMERASE DEFICIENCY%PATHWHIZ%PW000539	TRIOSEPHOSPHATE ISOMERASE DEFICIENCY%PATHWHIZ%PW000539	Details ...	19	-0.7071296	-2.0616364	0.0	0.013444447	0.093	2108	tags=58%, list=14%, signal=67%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY%MSIGDBHALLMARK%HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY%MSIGDBHALLMARK%HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	31	-0.62028384	-2.055693	0.0	0.013240806	0.099	2239	tags=45%, list=15%, signal=53%	
GLUCONEOGENESIS%BIOCYC%PWY66-399	GLUCONEOGENESIS%BIOCYC%PWY66-399	Details ...	17	-0.74681175	-2.0530257	0.0	0.012852553	0.104	2532	tags=59%, list=17%, signal=71%	
REGULATION OF LEUKOCYTE DEGRANULATION%GOBP%GO:0043300	REGULATION OF LEUKOCYTE DEGRANULATION%GOBP%GO:0043300	Details ...	25	-0.66958606	-2.0360024	0.0	0.015855504	0.135	1748	tags=44%, list=12%, signal=50%	
