NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REGULATION OF VASOCONSTRICTION%GOBP%GO:0019229	REGULATION OF VASOCONSTRICTION%GOBP%GO:0019229	Details ...	24	0.6356775	1.8102413	0.003649635	1.0	0.999	890	tags=25%, list=6%, signal=27%	
CELL-CELL ADHESION MEDIATED BY CADHERIN%GOBP%GO:0044331	CELL-CELL ADHESION MEDIATED BY CADHERIN%GOBP%GO:0044331	Details ...	16	0.70274526	1.8013915	0.003690037	1.0	1.0	20	tags=13%, list=0%, signal=13%	
PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY OF THE HEART%WIKIPATHWAYS_20250210%WP1528%HOMO SAPIENS	PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY OF THE HEART%WIKIPATHWAYS_20250210%WP1528%HOMO SAPIENS	Details ...	17	0.65567446	1.7921284	0.0056710774	1.0	1.0	2910	tags=47%, list=20%, signal=59%	
SMOOTH MUSCLE CONTRACTION%GOBP%GO:0006939	SMOOTH MUSCLE CONTRACTION%GOBP%GO:0006939	Details ...	22	0.6351567	1.7875617	0.0038910506	1.0	1.0	2664	tags=36%, list=18%, signal=44%	
FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS%GOBP%GO:1901570	FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS%GOBP%GO:1901570	Details ...	37	0.5573411	1.7606717	0.0036166366	1.0	1.0	2928	tags=43%, list=20%, signal=54%	
FOXO-MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS, METABOLIC AND NEURONAL GENES%REACTOME DATABASE ID RELEASE 91%9615017	FOXO-MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS, METABOLIC AND NEURONAL GENES%REACTOME DATABASE ID RELEASE 91%9615017	Details ...	21	0.63483447	1.7589505	0.005263158	1.0	1.0	2194	tags=38%, list=15%, signal=45%	
POSITIVE REGULATION OF TRANSCRIPTION ELONGATION BY RNA POLYMERASE II%GOBP%GO:0032968	POSITIVE REGULATION OF TRANSCRIPTION ELONGATION BY RNA POLYMERASE II%GOBP%GO:0032968	Details ...	46	0.52528954	1.72423	0.0035778175	1.0	1.0	786	tags=15%, list=5%, signal=16%	
POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, ELONGATION%GOBP%GO:0032786	POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, ELONGATION%GOBP%GO:0032786	Details ...	55	0.5069687	1.7116251	0.008250825	1.0	1.0	786	tags=15%, list=5%, signal=15%	
EPITHELIAL STRUCTURE MAINTENANCE%GOBP%GO:0010669	EPITHELIAL STRUCTURE MAINTENANCE%GOBP%GO:0010669	Details ...	19	0.63504535	1.708503	0.019503547	1.0	1.0	9	tags=11%, list=0%, signal=11%	
NEUROTRANSMITTER TRANSPORT%GOBP%GO:0006836	NEUROTRANSMITTER TRANSPORT%GOBP%GO:0006836	Details ...	68	0.47210735	1.683118	0.0033112583	1.0	1.0	1923	tags=31%, list=13%, signal=35%	
MIRNA PROCESSING%GOBP%GO:0035196	MIRNA PROCESSING%GOBP%GO:0035196	Details ...	27	0.5647256	1.6778722	0.021238938	1.0	1.0	2134	tags=48%, list=14%, signal=56%	
CELLULAR RESPONSE TO MISFOLDED PROTEIN%GOBP%GO:0071218	CELLULAR RESPONSE TO MISFOLDED PROTEIN%GOBP%GO:0071218	Details ...	15	0.6586628	1.6674443	0.013806706	1.0	1.0	773	tags=33%, list=5%, signal=35%	
IL26 SIGNALING%WIKIPATHWAYS_20250210%WP5347%HOMO SAPIENS	IL26 SIGNALING%WIKIPATHWAYS_20250210%WP5347%HOMO SAPIENS	Details ...	25	0.56074977	1.6337537	0.016333938	1.0	1.0	1653	tags=20%, list=11%, signal=22%	
RNA EXPORT FROM NUCLEUS%GOBP%GO:0006405	RNA EXPORT FROM NUCLEUS%GOBP%GO:0006405	Details ...	72	0.45064697	1.6313636	0.005235602	1.0	1.0	1193	tags=19%, list=8%, signal=21%	
SECONDARY METABOLIC PROCESS%GOBP%GO:0019748	SECONDARY METABOLIC PROCESS%GOBP%GO:0019748	Details ...	19	0.59642345	1.626887	0.016574586	1.0	1.0	2671	tags=47%, list=18%, signal=58%	
GPCRS CLASS A RHODOPSIN LIKE%WIKIPATHWAYS_20250210%WP455%HOMO SAPIENS	GPCRS CLASS A RHODOPSIN LIKE%WIKIPATHWAYS_20250210%WP455%HOMO SAPIENS	Details ...	78	0.44308203	1.6252097	0.0050933785	1.0	1.0	2655	tags=35%, list=18%, signal=42%	
AXONEME ASSEMBLY%GOBP%GO:0035082	AXONEME ASSEMBLY%GOBP%GO:0035082	Details ...	43	0.502003	1.6114514	0.0069444445	1.0	1.0	2401	tags=30%, list=16%, signal=36%	
REGULATION OF KERATINOCYTE DIFFERENTIATION%GOBP%GO:0045616	REGULATION OF KERATINOCYTE DIFFERENTIATION%GOBP%GO:0045616	Details ...	22	0.57201034	1.6018257	0.018761726	1.0	1.0	1528	tags=32%, list=10%, signal=35%	
THIOESTER BIOSYNTHETIC PROCESS%GOBP%GO:0035384	THIOESTER BIOSYNTHETIC PROCESS%GOBP%GO:0035384	Details ...	34	0.50975245	1.5964006	0.021201413	1.0	1.0	925	tags=21%, list=6%, signal=22%	
REGULATION OF GENE SILENCING BY REGULATORY NCRNA%GOBP%GO:0060966	REGULATION OF GENE SILENCING BY REGULATORY NCRNA%GOBP%GO:0060966	Details ...	19	0.59481025	1.5930007	0.026548672	1.0	1.0	2193	tags=42%, list=15%, signal=49%	
ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0071616	ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0071616		34	0.50975245	1.5871754	0.017730497	1.0	1.0	925	tags=21%, list=6%, signal=22%	
CELLULAR RESPONSE TO RETINOIC ACID%GOBP%GO:0071300	CELLULAR RESPONSE TO RETINOIC ACID%GOBP%GO:0071300		29	0.52802193	1.582368	0.021052632	1.0	1.0	93	tags=10%, list=1%, signal=10%	
ENDOCRINE PROCESS%GOBP%GO:0050886	ENDOCRINE PROCESS%GOBP%GO:0050886		19	0.5789865	1.5794591	0.015473888	1.0	1.0	1296	tags=21%, list=9%, signal=23%	
DEVELOPMENT OF URETERIC DERIVED COLLECTING SYSTEM%WIKIPATHWAYS_20250210%WP5053%HOMO SAPIENS	DEVELOPMENT OF URETERIC DERIVED COLLECTING SYSTEM%WIKIPATHWAYS_20250210%WP5053%HOMO SAPIENS		28	0.5227642	1.5684046	0.02417962	1.0	1.0	2468	tags=36%, list=17%, signal=43%	
REGULATION OF KERATINOCYTE PROLIFERATION%GOBP%GO:0010837	REGULATION OF KERATINOCYTE PROLIFERATION%GOBP%GO:0010837		22	0.5554797	1.5575311	0.03649635	1.0	1.0	1638	tags=23%, list=11%, signal=26%	
MESONEPHROS DEVELOPMENT%GOBP%GO:0001823	MESONEPHROS DEVELOPMENT%GOBP%GO:0001823		23	0.5537461	1.5525062	0.034602076	1.0	1.0	2321	tags=35%, list=16%, signal=41%	
CALCIUM-DEPENDENT CELL-CELL ADHESION VIA PLASMA MEMBRANE CELL ADHESION MOLECULES%GOBP%GO:0016339	CALCIUM-DEPENDENT CELL-CELL ADHESION VIA PLASMA MEMBRANE CELL ADHESION MOLECULES%GOBP%GO:0016339		30	0.5097025	1.5517366	0.026642984	1.0	1.0	1234	tags=13%, list=8%, signal=15%	
13Q12 12 COPY NUMBER VARIATION%WIKIPATHWAYS_20250210%WP5406%HOMO SAPIENS	13Q12 12 COPY NUMBER VARIATION%WIKIPATHWAYS_20250210%WP5406%HOMO SAPIENS		18	0.57505465	1.5496455	0.04	1.0	1.0	1011	tags=28%, list=7%, signal=30%	
RNA POLYMERASE II TRANSCRIPTION TERMINATION%REACTOME DATABASE ID RELEASE 91%73856	RNA POLYMERASE II TRANSCRIPTION TERMINATION%REACTOME DATABASE ID RELEASE 91%73856		65	0.4452513	1.5462409	0.009966778	1.0	1.0	798	tags=15%, list=5%, signal=16%	
REGULATION OF TRANSCRIPTION ELONGATION BY RNA POLYMERASE II%GOBP%GO:0034243	REGULATION OF TRANSCRIPTION ELONGATION BY RNA POLYMERASE II%GOBP%GO:0034243		76	0.4334292	1.5434326	0.008305647	1.0	1.0	786	tags=12%, list=5%, signal=12%	
FATTY ACID DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901568	FATTY ACID DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901568		53	0.45059434	1.5408763	0.015228426	1.0	1.0	2928	tags=36%, list=20%, signal=45%	
RETINA HOMEOSTASIS%GOBP%GO:0001895	RETINA HOMEOSTASIS%GOBP%GO:0001895		29	0.5196867	1.5379719	0.024390243	1.0	1.0	605	tags=17%, list=4%, signal=18%	
XENOBIOTIC TRANSMEMBRANE TRANSPORT%GOBP%GO:0006855	XENOBIOTIC TRANSMEMBRANE TRANSPORT%GOBP%GO:0006855		15	0.6022093	1.5293458	0.05075188	1.0	1.0	1990	tags=40%, list=13%, signal=46%	
GDNF RET SIGNALING AXIS%WIKIPATHWAYS_20250210%WP4830%HOMO SAPIENS	GDNF RET SIGNALING AXIS%WIKIPATHWAYS_20250210%WP4830%HOMO SAPIENS		18	0.5672972	1.5226575	0.04204753	1.0	1.0	2843	tags=44%, list=19%, signal=55%	
MRNA EXPORT FROM NUCLEUS%GOBP%GO:0006406	MRNA EXPORT FROM NUCLEUS%GOBP%GO:0006406		57	0.44511724	1.5193219	0.022375215	1.0	1.0	731	tags=18%, list=5%, signal=18%	
REGULATION OF DNA-TEMPLATED TRANSCRIPTION ELONGATION%GOBP%GO:0032784	REGULATION OF DNA-TEMPLATED TRANSCRIPTION ELONGATION%GOBP%GO:0032784		89	0.4095566	1.5174481	0.011111111	1.0	1.0	1277	tags=13%, list=9%, signal=15%	
VESICLE TARGETING%GOBP%GO:0006903	VESICLE TARGETING%GOBP%GO:0006903		55	0.44640625	1.5147189	0.020869566	1.0	1.0	2033	tags=31%, list=14%, signal=36%	
RESPONSE TO MISFOLDED PROTEIN%GOBP%GO:0051788	RESPONSE TO MISFOLDED PROTEIN%GOBP%GO:0051788		17	0.57620853	1.5144387	0.040816326	1.0	1.0	773	tags=29%, list=5%, signal=31%	
MRNA 3'-END PROCESSING%REACTOME%R-HSA-72187.7	MRNA 3'-END PROCESSING%REACTOME%R-HSA-72187.7		56	0.44132453	1.5104002	0.02112676	1.0	1.0	798	tags=16%, list=5%, signal=17%	
PID_RXR_VDR_PATHWAY%MSIGDB_C2%PID_RXR_VDR_PATHWAY	PID_RXR_VDR_PATHWAY%MSIGDB_C2%PID_RXR_VDR_PATHWAY		17	0.5610932	1.5097392	0.03646833	1.0	1.0	31	tags=12%, list=0%, signal=12%	
DETECTION OF CHEMICAL STIMULUS%GOBP%GO:0009593	DETECTION OF CHEMICAL STIMULUS%GOBP%GO:0009593		45	0.4525716	1.5066872	0.022767074	1.0	1.0	1519	tags=20%, list=10%, signal=22%	
REGULATION OF ESTABLISHMENT OF CELL POLARITY%GOBP%GO:2000114	REGULATION OF ESTABLISHMENT OF CELL POLARITY%GOBP%GO:2000114		15	0.59065884	1.5022779	0.043726236	1.0	1.0	775	tags=20%, list=5%, signal=21%	
SMAD PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0060395	SMAD PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0060395		16	0.580606	1.5006034	0.043643262	1.0	1.0	2910	tags=50%, list=20%, signal=62%	
