NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL5	694	1.3948036432266235	-0.013640902	No	
row_1	CCL4	1906	0.8405829071998596	-0.07561528	No	
row_2	CACNB1	4402	0.3545144200325012	-0.2362974	No	
row_3	CCL3	4809	0.3017638325691223	-0.25659698	No	
row_4	ARHGAP23	6471	0.12274544686079025	-0.36628172	No	
row_5	CCL18	6656	0.10560942441225052	-0.37622783	No	
row_6	ACACA	6694	0.10173188894987106	-0.37629938	No	
row_7	AATF	6816	0.08815107494592667	-0.382392	No	
row_8	NLE1	6893	0.08144713193178177	-0.38559395	No	
row_9	CCL2	7302	0.046919796615839005	-0.41213462	No	
row_10	SLFN11	7790	0.009099835529923439	-0.44493803	No	
row_11	ZNF830	7833	0.006807595957070589	-0.44762278	No	
row_12	IKZF3	8431	-0.04046391323208809	-0.4871334	No	
row_13	CWC25	8597	-0.055725470185279846	-0.49698633	No	
row_14	RPL23	9601	-0.14873245358467102	-0.56143224	No	
row_15	MRM1	9629	-0.1510637253522873	-0.55964386	No	
row_16	TBC1D3B	9646	-0.1531999409198761	-0.55705845	No	
row_17	LIG3	10007	-0.1955278068780899	-0.57678413	No	
row_18	DUSP14	10015	-0.196119487285614	-0.5725602	No	
row_19	ZNHIT3	10109	-0.20783743262290955	-0.5738868	No	
row_20	CCL8	11707	-0.4413851797580719	-0.6715981	Yes	
row_21	RASL10B	11732	-0.4466914236545563	-0.66252375	Yes	
row_22	MED1	11948	-0.4932754933834076	-0.6652842	Yes	
row_23	MLLT6	12025	-0.5111137628555298	-0.65819234	Yes	
row_24	CCL3L3	12197	-0.546359658241272	-0.6566976	Yes	
row_25	TAF15	12252	-0.5580967664718628	-0.6469884	Yes	
row_26	CISD3	12450	-0.6017118096351624	-0.64593047	Yes	
row_27	GGNBP2	12460	-0.6058927774429321	-0.6320249	Yes	
row_28	SYNRG	12553	-0.6250337362289429	-0.62328863	Yes	
row_29	DHRS11	12846	-0.6944211721420288	-0.6264512	Yes	
row_30	STARD3	12889	-0.7046899199485779	-0.61241627	Yes	
row_31	SOCS7	13004	-0.7367995381355286	-0.6024941	Yes	
row_32	PGAP3	13205	-0.8038327693939209	-0.5967972	Yes	
row_33	PEX12	13330	-0.8438559770584106	-0.5849883	Yes	
row_34	SLFN12	13388	-0.864448070526123	-0.568143	Yes	
row_35	CCL14	13695	-1.0097204446792603	-0.56470096	Yes	
row_36	MMP28	14064	-1.2433727979660034	-0.5598651	Yes	
row_37	RAD51D	14122	-1.2834060192108154	-0.5329826	Yes	
row_38	CCT6B	14156	-1.3106811046600342	-0.5038192	Yes	
row_39	RFFL	14232	-1.3684223890304565	-0.47612035	Yes	
row_40	TCAP	14272	-1.4078649282455444	-0.44503555	Yes	
row_41	STAC2	14284	-1.4210807085037231	-0.41173553	Yes	
row_42	MIEN1	14309	-1.4464664459228516	-0.37870884	Yes	
row_43	GRB7	14383	-1.5452014207839966	-0.34663913	Yes	
row_44	PIGW	14429	-1.5956192016601562	-0.311463	Yes	
row_45	PPP1R1B	14431	-1.5975180864334106	-0.27325788	Yes	
row_46	SRCIN1	14492	-1.686991810798645	-0.23690975	Yes	
row_47	FBXL20	14521	-1.7281584739685059	-0.19740556	Yes	
row_48	PCGF2	14562	-1.7846869230270386	-0.15736075	Yes	
row_49	ERBB2	14581	-1.8125293254852295	-0.11515717	Yes	
row_50	PLXDC1	14726	-2.273885726928711	-0.07044407	Yes	
row_51	C17orf78	14790	-3.1441214084625244	6.101679E-4	Yes	
