NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHRNB1	3051	0.5715466737747192	-0.16216697	No	
row_1	GHRL	4905	0.29081884026527405	-0.2650208	No	
row_2	CHRNA5	5529	0.21707141399383545	-0.2903574	No	
row_3	BTBD9	6523	0.1175973191857338	-0.3484394	No	
row_4	TSC1	6611	0.10983046889305115	-0.34581587	No	
row_5	NRXN2	7485	0.032503049820661545	-0.40237156	No	
row_6	NLGN3	8593	-0.05542124807834625	-0.47298566	No	
row_7	PTEN	9266	-0.11406692862510681	-0.5096197	No	
row_8	PUM1	9803	-0.17104695737361908	-0.53263557	No	
row_9	CNTNAP2	9985	-0.19317735731601715	-0.52991444	No	
row_10	SHANK3	10522	-0.2603660523891449	-0.54600906	No	
row_11	LEP	11404	-0.38758939504623413	-0.5755908	No	
row_12	CHRNB2	12032	-0.5120919346809387	-0.57833725	Yes	
row_13	SHANK2	12408	-0.592627763748169	-0.5577907	Yes	
row_14	SPTBN4	12633	-0.6432601809501648	-0.52310276	Yes	
row_15	APP	13318	-0.8393677473068237	-0.5043461	Yes	
row_16	BBS2	13332	-0.8456589579582214	-0.4396965	Yes	
row_17	NLGN4X	13442	-0.8851180076599121	-0.37848544	Yes	
row_18	BBS4	14057	-1.2382323741912842	-0.3240843	Yes	
row_19	NRXN1	14270	-1.3995168209075928	-0.22998284	Yes	
row_20	PAFAH1B1	14332	-1.4763315916061401	-0.119711176	Yes	
row_21	NRXN3	14640	-1.951818585395813	0.010759118	Yes	
