NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYBPC1	618	1.4583431482315063	-0.009197184	No	
row_1	ADPRHL1	1072	1.158562183380127	-0.013928837	No	
row_2	OBSCN	1257	1.0803724527359009	-0.0021688961	No	
row_3	CFLAR	2123	0.7822945713996887	-0.043288376	No	
row_4	SIX4	2219	0.7555450797080994	-0.032779858	No	
row_5	TENM4	2739	0.6305741667747498	-0.05383474	No	
row_6	AGFG2	2909	0.5968806743621826	-0.051905528	No	
row_7	KRT19	3020	0.5765573978424072	-0.046430413	No	
row_8	SLC9A8	3054	0.5707740187644958	-0.03586224	No	
row_9	ABCA2	3104	0.5589057803153992	-0.02664562	No	
row_10	FLII	3666	0.46448954939842224	-0.05427577	No	
row_11	PLLP	4760	0.30877360701560974	-0.12148466	No	
row_12	TMOD3	5190	0.2587127387523651	-0.14477845	No	
row_13	RFX2	5236	0.2512694001197815	-0.14219297	No	
row_14	NEBL	5626	0.2083873152732849	-0.16390277	No	
row_15	CASQ1	6294	0.14289219677448273	-0.20593849	No	
row_16	CCDC136	6984	0.07474911212921143	-0.25099537	No	
row_17	CHN2	7904	0.0015605026856064796	-0.31329504	No	
row_18	PDGFRA	8069	-0.012406823225319386	-0.32414058	No	
row_19	WDR1	8120	-0.016209490597248077	-0.32716832	No	
row_20	AGFG1	8539	-0.05031270906329155	-0.3543919	No	
row_21	EPB41L3	8633	-0.05843039229512215	-0.35938895	No	
row_22	TPPP	9077	-0.0988144502043724	-0.38722	No	
row_23	VPS13B	9912	-0.1855759620666504	-0.43962544	No	
row_24	NCMAP	9962	-0.19101275503635406	-0.43866327	No	
row_25	DICER1	10175	-0.2153228223323822	-0.44821176	No	
row_26	MYH3	10526	-0.26083093881607056	-0.46609953	No	
row_27	PDGFRB	11538	-0.41181623935699463	-0.5254345	Yes	
row_28	CSRP2	11544	-0.4124338626861572	-0.5165198	Yes	
row_29	MYL9	11756	-0.45233285427093506	-0.52068263	Yes	
row_30	GPC1	11793	-0.45908379554748535	-0.51282394	Yes	
row_31	LMOD1	11841	-0.47137948870658875	-0.5054355	Yes	
row_32	TMOD1	11947	-0.49317920207977295	-0.501492	Yes	
row_33	CAPN3	12130	-0.5330908298492432	-0.5018758	Yes	
row_34	TPM1	12390	-0.5889137387275696	-0.50623	Yes	
row_35	ACRBP	12777	-0.6783822178840637	-0.51719093	Yes	
row_36	OBSL1	12980	-0.7299733757972717	-0.51451385	Yes	
row_37	CSRP1	13011	-0.7378921508789062	-0.49999258	Yes	
row_38	TMOD2	13302	-0.8312099575996399	-0.501013	Yes	
row_39	FHOD3	13632	-0.9777957797050476	-0.50138974	Yes	
row_40	MYOM1	13942	-1.1539480686187744	-0.49645755	Yes	
row_41	PMP22	13973	-1.1755921840667725	-0.47211552	Yes	
row_42	CD9	14041	-1.228555679321289	-0.4490948	Yes	
row_43	MYH11	14046	-1.2308622598648071	-0.42174914	Yes	
row_44	CNTNAP1	14059	-1.2412644624710083	-0.3947127	Yes	
row_45	TTN	14267	-1.3958895206451416	-0.3774335	Yes	
row_46	TCAP	14272	-1.4078649282455444	-0.3461164	Yes	
row_47	LMOD3	14325	-1.4697771072387695	-0.31666595	Yes	
row_48	PAFAH1B1	14332	-1.4763315916061401	-0.2839483	Yes	
row_49	FLNC	14368	-1.5155607461929321	-0.2523175	Yes	
row_50	PLN	14460	-1.6386573314666748	-0.22172317	Yes	
row_51	KLHL41	14470	-1.657318353652954	-0.18514818	Yes	
row_52	MEF2A	14530	-1.7403581142425537	-0.15010147	Yes	
row_53	PGM5	14563	-1.7861762046813965	-0.11219536	Yes	
row_54	NEB	14571	-1.7952462434768677	-0.07239001	Yes	
row_55	MYOM3	14577	-1.8098405599594116	-0.032121558	Yes	
row_56	PROX1	14688	-2.099733352661133	0.007529232	Yes	
