NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DLGAP1	522	1.5476510524749756	0.07704267	No	
row_1	MAPK3	2402	0.7087343335151672	0.001351064	No	
row_2	HOMER1	4534	0.3350849151611328	-0.11852131	No	
row_3	CAMK2D	5534	0.21671746671199799	-0.17038727	No	
row_4	STX1A	7261	0.051169317215681076	-0.2834674	No	
row_5	NRXN2	7485	0.032503049820661545	-0.29619756	No	
row_6	SYNGAP1	7739	0.013048582710325718	-0.3123702	No	
row_7	GRIN1	7877	0.0037580577190965414	-0.32136792	No	
row_8	NLGN2	8448	-0.04147589951753616	-0.35692745	No	
row_9	NLGN3	8593	-0.05542124807834625	-0.36264786	No	
row_10	CAMK2G	8705	-0.06517378985881805	-0.36542717	No	
row_11	MAPK1	9045	-0.09586848318576813	-0.38140625	No	
row_12	CYFIP1	9238	-0.1119370087981224	-0.38627148	No	
row_13	FMR1	9564	-0.14430566132068634	-0.39778647	No	
row_14	YWHAG	10707	-0.2857506275177002	-0.45431688	No	
row_15	CAMK2A	11154	-0.3504870533943176	-0.45905018	No	
row_16	DLG2	12365	-0.5812762379646301	-0.49872574	No	
row_17	NRXN1	14270	-1.3995168209075928	-0.52595556	Yes	
row_18	NLGN1	14342	-1.4867806434631348	-0.422814	Yes	
row_19	GRIN2B	14523	-1.72983717918396	-0.30940142	Yes	
row_20	NRXN3	14640	-1.951818585395813	-0.17554136	Yes	
row_21	RYR2	14763	-2.5650553703308105	0.0024360598	Yes	
