NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TECR	1940	0.8292840719223022	-0.059374146	No	
row_1	DGAT2	2791	0.6192328929901123	-0.06320772	No	
row_2	DGAT1	3219	0.5387902855873108	-0.045394495	No	
row_3	ELOVL7	4313	0.3681609034538269	-0.08743272	No	
row_4	ACSL4	6029	0.16656649112701416	-0.18902953	No	
row_5	ACSL1	6480	0.12186387926340103	-0.20891263	No	
row_6	ELOVL1	7687	0.016383491456508636	-0.2890892	No	
row_7	ACSL3	7722	0.014207332395017147	-0.2901581	No	
row_8	ELOVL2	7975	-0.004851150792092085	-0.30678767	No	
row_9	ACOT7	8057	-0.011516112834215164	-0.3112698	No	
row_10	ACSF3	8426	-0.03974786028265953	-0.33272287	No	
row_11	ACSL5	9367	-0.12484726309776306	-0.38550025	No	
row_12	HSD17B12	9655	-0.15402978658676147	-0.39156672	No	
row_13	ELOVL6	10380	-0.2419290840625763	-0.41958085	No	
row_14	ACSBG2	13685	-1.004546046257019	-0.55604976	Yes	
row_15	FAR2	13814	-1.072920799255371	-0.4717068	Yes	
row_16	ELOVL5	14119	-1.2822397947311401	-0.38112754	Yes	
row_17	ACSBG1	14257	-1.3874634504318237	-0.27012822	Yes	
row_18	FAR1	14403	-1.559189796447754	-0.1447845	Yes	
row_19	ACSL6	14648	-1.9785995483398438	0.010216402	Yes	
