NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VEGFA	258	1.906914472579956	0.020432731	No	
row_1	MYBPC1	618	1.4583431482315063	0.02507981	No	
row_2	ADPRHL1	1072	1.158562183380127	0.017377784	No	
row_3	OBSCN	1257	1.0803724527359009	0.026385391	No	
row_4	HES1	2007	0.8104315996170044	-0.0083442945	No	
row_5	CFLAR	2123	0.7822945713996887	-5.837874E-4	No	
row_6	SIX4	2219	0.7555450797080994	0.0080023995	No	
row_7	CXADR	2859	0.6069017052650452	-0.023308681	No	
row_8	KRT19	3020	0.5765573978424072	-0.022698386	No	
row_9	CHRNB1	3051	0.5715466737747192	-0.01336049	No	
row_10	FLII	3666	0.46448954939842224	-0.045808308	No	
row_11	SIX1	3957	0.4168149530887604	-0.05720454	No	
row_12	BIN1	5174	0.26032891869544983	-0.13459288	No	
row_13	TMOD3	5190	0.2587127387523651	-0.1304625	No	
row_14	MAML1	5515	0.21815234422683716	-0.14812121	No	
row_15	NEBL	5626	0.2083873152732849	-0.15144314	No	
row_16	KDM1A	5723	0.19997668266296387	-0.15398183	No	
row_17	ACTN4	6103	0.16053993999958038	-0.1765218	No	
row_18	CASQ1	6294	0.14289219677448273	-0.18657942	No	
row_19	TBX3	6317	0.14129070937633514	-0.1852613	No	
row_20	PPP3CA	6322	0.14053215086460114	-0.18273602	No	
row_21	HEY2	6429	0.12803779542446136	-0.18738547	No	
row_22	TMEM182	6792	0.09001718461513519	-0.21017464	No	
row_23	ALPK3	7999	-0.00673975283280015	-0.2919309	No	
row_24	NOTCH1	8001	-0.006835016887634993	-0.2918628	No	
row_25	PDGFRA	8069	-0.012406823225319386	-0.29616532	No	
row_26	WDR1	8120	-0.016209490597248077	-0.29923785	No	
row_27	ENG	8264	-0.027904562652111053	-0.30839252	No	
row_28	CAV2	8480	-0.044354312121868134	-0.32210883	No	
row_29	PDLIM5	8550	-0.05111481621861458	-0.32577682	No	
row_30	SKI	8661	-0.06109170243144035	-0.33203024	No	
row_31	ACTN1	8943	-0.08567454665899277	-0.34940574	No	
row_32	ALPK2	9303	-0.11772577464580536	-0.37143973	No	
row_33	MEGF10	9352	-0.12257924675941467	-0.37225947	No	
row_34	TBX5	9839	-0.17434349656105042	-0.4017903	No	
row_35	ANK2	10218	-0.2207057625055313	-0.42306492	No	
row_36	MYH3	10526	-0.26083093881607056	-0.4387199	No	
row_37	EFEMP2	10921	-0.3174923062324524	-0.45915473	No	
row_38	ASB2	10983	-0.3261773884296417	-0.45680517	No	
row_39	SLC8A1	11117	-0.3444826304912567	-0.45898026	No	
row_40	RAMP2	11220	-0.3614347577095032	-0.45871302	No	
row_41	PDGFRB	11538	-0.41181623935699463	-0.4720421	Yes	
row_42	CSRP2	11544	-0.4124338626861572	-0.46417332	Yes	
row_43	MYL9	11756	-0.45233285427093506	-0.4694984	Yes	
row_44	BMPR1A	11838	-0.47024327516555786	-0.46563965	Yes	
row_45	LMOD1	11841	-0.47137948870658875	-0.45639402	Yes	
row_46	TMOD1	11947	-0.49317920207977295	-0.4537085	Yes	
row_47	SORBS2	12045	-0.5144845247268677	-0.45005572	Yes	
row_48	CAPN3	12130	-0.5330908298492432	-0.44514993	Yes	
row_49	TPM1	12390	-0.5889137387275696	-0.45101604	Yes	
row_50	SDC1	12432	-0.5975301861763	-0.44190794	Yes	
row_51	OBSL1	12980	-0.7299733757972717	-0.46452263	Yes	
row_52	CSRP1	13011	-0.7378921508789062	-0.4518741	Yes	
row_53	TMOD2	13302	-0.8312099575996399	-0.45502302	Yes	
row_54	IGF1	13511	-0.911486804485321	-0.45100623	Yes	
row_55	SHOX2	13585	-0.9505769610404968	-0.43704465	Yes	
row_56	FHOD3	13632	-0.9777957797050476	-0.420708	Yes	
row_57	MYOM1	13942	-1.1539480686187744	-0.4187239	Yes	
row_58	DMD	13997	-1.197269082069397	-0.3985625	Yes	
row_59	MYH11	14046	-1.2308622598648071	-0.3773251	Yes	
row_60	PPP3CB	14146	-1.3012170791625977	-0.35815048	Yes	
row_61	TTN	14267	-1.3958895206451416	-0.33851767	Yes	
row_62	TCAP	14272	-1.4078649282455444	-0.31076983	Yes	
row_63	LMOD3	14325	-1.4697771072387695	-0.28504914	Yes	
row_64	FLNC	14368	-1.5155607461929321	-0.25773823	Yes	
row_65	KLHL41	14470	-1.657318353652954	-0.23161228	Yes	
row_66	RYR1	14504	-1.7044960260391235	-0.19993004	Yes	
row_67	MEF2A	14530	-1.7403581142425537	-0.16699085	Yes	
row_68	PGM5	14563	-1.7861762046813965	-0.13361509	Yes	
row_69	NEB	14571	-1.7952462434768677	-0.09836127	Yes	
row_70	TBX18	14573	-1.8003506660461426	-0.06259844	Yes	
row_71	MYOM3	14577	-1.8098405599594116	-0.02678254	Yes	
row_72	PROX1	14688	-2.099733352661133	0.0075372583	Yes	
