NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYBPC1	618	1.4583431482315063	0.002497367	No	
row_1	ADPRHL1	1072	1.158562183380127	0.0070526395	No	
row_2	OBSCN	1257	1.0803724527359009	0.027449744	No	
row_3	CFLAR	2123	0.7822945713996887	-0.0073449905	No	
row_4	SIX4	2219	0.7555450797080994	0.009200566	No	
row_5	KRT19	3020	0.5765573978424072	-0.027449124	No	
row_6	FLII	3666	0.46448954939842224	-0.05700888	No	
row_7	TMOD3	5190	0.2587127387523651	-0.15229638	No	
row_8	NEBL	5626	0.2083873152732849	-0.17542177	No	
row_9	CASQ1	6294	0.14289219677448273	-0.21625312	No	
row_10	PDGFRA	8069	-0.012406823225319386	-0.3360329	No	
row_11	WDR1	8120	-0.016209490597248077	-0.3389265	No	
row_12	MYH3	10526	-0.26083093881607056	-0.49388948	No	
row_13	PDGFRB	11538	-0.41181623935699463	-0.54984134	Yes	
row_14	CSRP2	11544	-0.4124338626861572	-0.5376357	Yes	
row_15	MYL9	11756	-0.45233285427093506	-0.5381694	Yes	
row_16	LMOD1	11841	-0.47137948870658875	-0.52952176	Yes	
row_17	TMOD1	11947	-0.49317920207977295	-0.52163345	Yes	
row_18	CAPN3	12130	-0.5330908298492432	-0.5177466	Yes	
row_19	TPM1	12390	-0.5889137387275696	-0.5173773	Yes	
row_20	OBSL1	12980	-0.7299733757972717	-0.5350693	Yes	
row_21	CSRP1	13011	-0.7378921508789062	-0.51465803	Yes	
row_22	TMOD2	13302	-0.8312099575996399	-0.5090189	Yes	
row_23	FHOD3	13632	-0.9777957797050476	-0.5015629	Yes	
row_24	MYOM1	13942	-1.1539480686187744	-0.4873945	Yes	
row_25	MYH11	14046	-1.2308622598648071	-0.4569339	Yes	
row_26	TTN	14267	-1.3958895206451416	-0.4293786	Yes	
row_27	TCAP	14272	-1.4078649282455444	-0.3868289	Yes	
row_28	LMOD3	14325	-1.4697771072387695	-0.34564728	Yes	
row_29	FLNC	14368	-1.5155607461929321	-0.30239582	Yes	
row_30	KLHL41	14470	-1.657318353652954	-0.25882894	Yes	
row_31	MEF2A	14530	-1.7403581142425537	-0.20989165	Yes	
row_32	PGM5	14563	-1.7861762046813965	-0.157732	Yes	
row_33	NEB	14571	-1.7952462434768677	-0.10360318	Yes	
row_34	MYOM3	14577	-1.8098405599594116	-0.048895	Yes	
row_35	PROX1	14688	-2.099733352661133	0.007518459	Yes	
