NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SIX4	2219	0.7555450797080994	-0.103986226	No	
row_1	SIX1	3957	0.4168149530887604	-0.19606473	No	
row_2	ITGB1	4251	0.3768347501754761	-0.19284919	No	
row_3	DOCK2	5167	0.2610000967979431	-0.23881923	No	
row_4	SORT1	5839	0.18712376058101654	-0.27279213	No	
row_5	PTGFRN	5999	0.16886936128139496	-0.27322602	No	
row_6	PPP3CA	6322	0.14053215086460114	-0.28642595	No	
row_7	TMEM182	6792	0.09001718461513519	-0.31266534	No	
row_8	PLD3	8378	-0.03639468923211098	-0.41772246	No	
row_9	CAV2	8480	-0.044354312121868134	-0.42184603	No	
row_10	SKI	8661	-0.06109170243144035	-0.43029317	No	
row_11	ADAMTS5	8738	-0.06860517710447311	-0.43124136	No	
row_12	DOCK5	9219	-0.11046889424324036	-0.45697445	No	
row_13	CD81	9243	-0.11277694255113602	-0.45163366	No	
row_14	DOCK1	11046	-0.334225594997406	-0.55316305	No	
row_15	KCNH1	11970	-0.498224139213562	-0.5851657	No	
row_16	ADAM12	12609	-0.6352993249893188	-0.58949393	No	
row_17	IGF1	13511	-0.911486804485321	-0.5947318	Yes	
row_18	MYEF2	13555	-0.9337509870529175	-0.540533	Yes	
row_19	CACNA1H	13666	-0.9939852952957153	-0.48718518	Yes	
row_20	CD9	14041	-1.228555679321289	-0.43735996	Yes	
row_21	PPP3CB	14146	-1.3012170791625977	-0.36481532	Yes	
row_22	LMOD3	14325	-1.4697771072387695	-0.28697017	Yes	
row_23	MEF2C	14414	-1.5684218406677246	-0.197	Yes	
row_24	RYR1	14504	-1.7044960260391235	-0.098775044	Yes	
row_25	ADAMTS15	14637	-1.940361738204956	0.010965223	Yes	
