NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL18A	152	2.162087917327881	0.021316642	Yes	
row_1	RPS9	220	1.9743773937225342	0.045662202	Yes	
row_2	RPL10	358	1.7426620721817017	0.06185912	Yes	
row_3	RPS28	392	1.6986372470855713	0.08447927	Yes	
row_4	RPS27	416	1.6664422750473022	0.10730777	Yes	
row_5	RPL13	426	1.6523481607437134	0.13088138	Yes	
row_6	RPS3	474	1.605214238166809	0.1511827	Yes	
row_7	FAU	496	1.5739177465438843	0.17279284	Yes	
row_8	RPLP0	576	1.4883899688720703	0.18920957	Yes	
row_9	RPL23A	579	1.4863507747650146	0.2108292	Yes	
row_10	RPS21	634	1.444065809249878	0.2282961	Yes	
row_11	RPL3	736	1.3537646532058716	0.24124725	Yes	
row_12	RPL13A	796	1.3066703081130981	0.25636333	Yes	
row_13	RPS19	815	1.2954676151275635	0.2741017	Yes	
row_14	RPS25	824	1.290390133857727	0.29244533	Yes	
row_15	RPL7A	855	1.2735522985458374	0.30904743	Yes	
row_16	RPL21	856	1.2731125354766846	0.32768184	Yes	
row_17	RPL36	876	1.264039397239685	0.34489223	Yes	
row_18	RPS27A	909	1.2427287101745605	0.36090726	Yes	
row_19	RPS16	942	1.2211638689041138	0.37660664	Yes	
row_20	RPL18	1012	1.1861647367477417	0.3892793	Yes	
row_21	RPL28	1048	1.167133092880249	0.40398398	Yes	
row_22	RPL36A	1083	1.154997706413269	0.41857898	Yes	
row_23	RPL39	1119	1.1371757984161377	0.43284518	Yes	
row_24	EEF1A1	1242	1.085121512413025	0.4404371	Yes	
row_25	RPSA	1267	1.0764312744140625	0.4545617	Yes	
row_26	RPL27	1390	1.0208773612976074	0.46121332	Yes	
row_27	EEF2	1486	0.9835359454154968	0.46915323	Yes	
row_28	RPS8	1495	0.9804320931434631	0.48296005	Yes	
row_29	RPS14	1514	0.9723171591758728	0.4959685	Yes	
row_30	RPS15	1559	0.9557430148124695	0.5069675	Yes	
row_31	RPL14	1623	0.9317111372947693	0.51632345	Yes	
row_32	RPL30	1655	0.9205604791641235	0.5276909	Yes	
row_33	RPLP1	1674	0.9149071574211121	0.53985906	Yes	
row_34	RPS2	1795	0.8776231408119202	0.54454976	Yes	
row_35	RPL35	1985	0.816703200340271	0.54365975	Yes	
row_36	UBA52	2025	0.8072345852851868	0.5528248	Yes	
row_37	RPL8	2041	0.8025227189064026	0.56355184	Yes	
row_38	RPL41	2200	0.7607738375663757	0.5639499	Yes	
row_39	RPL32	2443	0.7003329992294312	0.55775476	Yes	
row_40	RPS23	2504	0.6851349472999573	0.5637055	Yes	
row_41	RPS11	2564	0.6739974021911621	0.56956124	Yes	
row_42	RPL39L	2636	0.6534779071807861	0.5743011	Yes	
row_43	RPL4	2774	0.622509777545929	0.57410246	Yes	
row_44	RPLP2	2797	0.6174941062927246	0.5816456	Yes	
row_45	RPL17	2838	0.6106216311454773	0.5878649	Yes	
row_46	RPL26L1	2839	0.6105778217315674	0.5968018	Yes	
row_47	RPL24	2844	0.6092458367347717	0.6054475	Yes	
row_48	RPL7	2914	0.5959720015525818	0.6094816	Yes	
row_49	RPS13	3063	0.5685703754425049	0.6077459	Yes	
row_50	RPL35A	3090	0.5627759099006653	0.61421627	Yes	
row_51	RPL10A	3110	0.5579591989517212	0.62109184	Yes	
row_52	RPL11	3152	0.5497803092002869	0.62635267	Yes	
row_53	RPS3A	3202	0.5424332022666931	0.63096225	Yes	
row_54	RPS18	3207	0.5414394736289978	0.6386154	Yes	
row_55	RPS5	3246	0.5335795879364014	0.64384294	Yes	
row_56	RPL26	3255	0.532448947429657	0.6510927	Yes	
row_57	RPS15A	3399	0.5087020397186279	0.6488205	Yes	
row_58	RPL27A	3463	0.5001499056816101	0.6518598	Yes	
row_59	RPL12	3469	0.4984784722328186	0.6588162	Yes	
row_60	RPL34	3759	0.44948798418045044	0.64575547	No	
row_61	RPS20	3816	0.43781763315200806	0.64835817	No	
row_62	RPS10	3990	0.41132476925849915	0.64262193	No	
row_63	RPL29	4129	0.39422452449798584	0.63901395	No	
row_64	RPL5	4240	0.37826988101005554	0.6370753	No	
row_65	RPS12	4657	0.32056406140327454	0.6134969	No	
row_66	RPS4X	4683	0.3178572356700897	0.61645037	No	
row_67	RPS29	4729	0.31230610609054565	0.6179635	No	
row_68	RPL31	4828	0.29881376028060913	0.6156773	No	
row_69	RPL36AL	4993	0.2793479561805725	0.608621	No	
row_70	RPL6	5005	0.27838796377182007	0.6119482	No	
row_71	RPL19	5038	0.2738341689109802	0.61378163	No	
row_72	RPS26	5212	0.25545093417167664	0.6057639	No	
row_73	RPL37	5358	0.23588955402374268	0.59936273	No	
row_74	RPS7	5596	0.21073082089424133	0.58634114	No	
row_75	RPL38	5765	0.19516858458518982	0.5777809	No	
row_76	RPS24	6106	0.16022861003875732	0.5570204	No	
row_77	RPS6	6510	0.11846432089805603	0.53136736	No	
row_78	RPL37A	6546	0.11533286422491074	0.53067696	No	
row_79	RPS17	6757	0.09494008868932724	0.51779544	No	
row_80	RPL23	9601	-0.14873245358467102	0.32676822	No	
row_81	RPL15	9818	-0.17267419397830963	0.31461674	No	
row_82	RPL22L1	10378	-0.2417992651462555	0.28016746	No	
row_83	RPL22	11340	-0.3790178596973419	0.2204076	No	
row_84	RPS27L	13674	-0.9968347549438477	0.07645246	No	
