NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTK2B	336	1.7733491659164429	0.08919421	No	
row_1	CACNG4	4062	0.40257829427719116	-0.13739282	No	
row_2	GRIN2A	4418	0.35213610529899597	-0.13918352	No	
row_3	GRIN2D	6495	0.12014415115118027	-0.27204174	No	
row_4	CCL2	7302	0.046919796615839005	-0.32360616	No	
row_5	GRIN1	7877	0.0037580577190965414	-0.3622	No	
row_6	NLGN2	8448	-0.04147589951753616	-0.39814267	No	
row_7	NLGN3	8593	-0.05542124807834625	-0.40438634	No	
row_8	SHANK3	10522	-0.2603660523891449	-0.5183823	No	
row_9	GRIN2C	11097	-0.34091413021087646	-0.53569657	No	
row_10	CCR2	11462	-0.3979867994785309	-0.53520226	No	
row_11	TSHZ3	11638	-0.42934298515319824	-0.5199431	No	
row_12	RELN	13719	-1.0187873840332031	-0.59635425	Yes	
row_13	RAB3GAP1	14102	-1.268978476524353	-0.54210514	Yes	
row_14	NRXN1	14270	-1.3995168209075928	-0.46507248	Yes	
row_15	NLGN1	14342	-1.4867806434631348	-0.37603775	Yes	
row_16	GRIN2B	14523	-1.72983717918396	-0.27903643	Yes	
row_17	CACNG8	14799	-4.715854644775391	4.6304194E-8	Yes	
