NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL18A	152	2.162087917327881	0.024421133	Yes	
row_1	RPS9	220	1.9743773937225342	0.051599007	Yes	
row_2	RPL10	358	1.7426620721817017	0.07029871	Yes	
row_3	RPS28	392	1.6986372470855713	0.095354706	Yes	
row_4	RPS27	416	1.6664422750473022	0.12057253	Yes	
row_5	RPL13	426	1.6523481607437134	0.14651476	Yes	
row_6	RPS3	474	1.605214238166809	0.16911852	Yes	
row_7	FAU	496	1.5739177465438843	0.19298531	Yes	
row_8	RPLP0	576	1.4883899688720703	0.21153824	Yes	
row_9	RPL23A	579	1.4863507747650146	0.23528829	Yes	
row_10	RPS21	634	1.444065809249878	0.25482693	Yes	
row_11	RPL3	736	1.3537646532058716	0.26972216	Yes	
row_12	RPL13A	796	1.3066703081130981	0.28671324	Yes	
row_13	RPS19	815	1.2954676151275635	0.30630904	Yes	
row_14	RPS25	824	1.290390133857727	0.32650244	Yes	
row_15	RPL7A	855	1.2735522985458374	0.34493104	Yes	
row_16	RPL21	856	1.2731125354766846	0.36539015	Yes	
row_17	RPL36	876	1.264039397239685	0.38441297	Yes	
row_18	RPS16	942	1.2211638689041138	0.39962244	Yes	
row_19	RPL18	1012	1.1861647367477417	0.41399777	Yes	
row_20	RPL28	1048	1.167133092880249	0.43037656	Yes	
row_21	RPL36A	1083	1.154997706413269	0.44662824	Yes	
row_22	RPL39	1119	1.1371757984161377	0.4625256	Yes	
row_23	RPSA	1267	1.0764312744140625	0.46983966	Yes	
row_24	RPL27	1390	1.0208773612976074	0.47795898	Yes	
row_25	RPS8	1495	0.9804320931434631	0.4866509	Yes	
row_26	RPS14	1514	0.9723171591758728	0.50105363	Yes	
row_27	RPS15	1559	0.9557430148124695	0.51342404	Yes	
row_28	RPL14	1623	0.9317111372947693	0.5241178	Yes	
row_29	RPL30	1655	0.9205604791641235	0.5368058	Yes	
row_30	RPLP1	1674	0.9149071574211121	0.55028594	Yes	
row_31	RPS2	1795	0.8776231408119202	0.556239	Yes	
row_32	RPL35	1985	0.816703200340271	0.5565265	Yes	
row_33	UBA52	2025	0.8072345852851868	0.56684995	Yes	
row_34	RPL8	2041	0.8025227189064026	0.57872784	Yes	
row_35	RPL41	2200	0.7607738375663757	0.5802221	Yes	
row_36	RPL32	2443	0.7003329992294312	0.5750397	Yes	
row_37	RPS23	2504	0.6851349472999573	0.5819746	Yes	
row_38	RPS11	2564	0.6739974021911621	0.5887986	Yes	
row_39	RPL4	2774	0.622509777545929	0.58460695	Yes	
row_40	RPLP2	2797	0.6174941062927246	0.5930359	Yes	
row_41	RPL17	2838	0.6106216311454773	0.60013187	Yes	
row_42	RPL24	2844	0.6092458367347717	0.60958296	Yes	
row_43	RPL7	2914	0.5959720015525818	0.61447376	Yes	
row_44	RPS13	3063	0.5685703754425049	0.6135585	Yes	
row_45	RPL35A	3090	0.5627759099006653	0.62083644	Yes	
row_46	RPL10A	3110	0.5579591989517212	0.62851244	Yes	
row_47	RPL11	3152	0.5497803092002869	0.63456273	Yes	
row_48	RPS3A	3202	0.5424332022666931	0.6399516	Yes	
row_49	RPS18	3207	0.5414394736289978	0.64838094	Yes	
row_50	RPS5	3246	0.5335795879364014	0.65437466	Yes	
row_51	RPL26	3255	0.532448947429657	0.66238785	Yes	
row_52	RPS15A	3399	0.5087020397186279	0.66085005	Yes	
row_53	RPL27A	3463	0.5001499056816101	0.66460854	Yes	
row_54	RPL12	3469	0.4984784722328186	0.6722796	Yes	
row_55	RPL34	3759	0.44948798418045044	0.6598738	No	
row_56	RPS20	3816	0.43781763315200806	0.663106	No	
row_57	RPS10	3990	0.41132476925849915	0.6579657	No	
row_58	RPL29	4129	0.39422452449798584	0.6549279	No	
row_59	RPL5	4240	0.37826988101005554	0.6535355	No	
row_60	RPS12	4657	0.32056406140327454	0.6304319	No	
row_61	RPS4X	4683	0.3178572356700897	0.6338419	No	
row_62	RPS29	4729	0.31230610609054565	0.63580424	No	
row_63	RPL31	4828	0.29881376028060913	0.63394994	No	
row_64	RPL6	5005	0.27838796377182007	0.6264696	No	
row_65	RPL19	5038	0.2738341689109802	0.62869674	No	
row_66	RPS26	5212	0.25545093417167664	0.62105155	No	
row_67	RPL37	5358	0.23588955402374268	0.61499375	No	
row_68	RPS7	5596	0.21073082089424133	0.602283	No	
row_69	RPL38	5765	0.19516858458518982	0.5940087	No	
row_70	RPS24	6106	0.16022861003875732	0.57349044	No	
row_71	RPS6	6510	0.11846432089805603	0.54802203	No	
row_72	RPL37A	6546	0.11533286422491074	0.5474982	No	
row_73	RPS17	6757	0.09494008868932724	0.53476053	No	
row_74	RPL23	9601	-0.14873245358467102	0.34405145	No	
row_75	RPL15	9818	-0.17267419397830963	0.33215544	No	
row_76	RPL22	11340	-0.3790178596973419	0.23493858	No	
