NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL18A	152	2.162087917327881	0.023550058	Yes	
row_1	RPS9	220	1.9743773937225342	0.049933143	Yes	
row_2	RPL10	358	1.7426620721817017	0.06793062	Yes	
row_3	RPS28	392	1.6986372470855713	0.09230305	Yes	
row_4	RPS27	416	1.6664422750473022	0.11685036	Yes	
row_5	RPL13	426	1.6523481607437134	0.14212786	Yes	
row_6	RPS3	474	1.605214238166809	0.16408552	Yes	
row_7	FAU	496	1.5739177465438843	0.18731903	Yes	
row_8	RPLP0	576	1.4883899688720703	0.20527253	Yes	
row_9	RPL23A	579	1.4863507747650146	0.22842471	Yes	
row_10	FARSA	585	1.4838424921035767	0.2513338	Yes	
row_11	RPS21	634	1.444065809249878	0.27069867	Yes	
row_12	RPL3	736	1.3537646532058716	0.28504843	Yes	
row_13	RPL13A	796	1.3066703081130981	0.30151334	Yes	
row_14	RPS19	815	1.2954676151275635	0.3205879	Yes	
row_15	RPS25	824	1.290390133857727	0.3402622	Yes	
row_16	RPL7A	855	1.2735522985458374	0.35817823	Yes	
row_17	RPL21	856	1.2731125354766846	0.37812525	Yes	
row_18	RPL36	876	1.264039397239685	0.39663947	Yes	
row_19	RPS16	942	1.2211638689041138	0.4113571	Yes	
row_20	RPL18	1012	1.1861647367477417	0.42525467	Yes	
row_21	RPL28	1048	1.167133092880249	0.4411637	Yes	
row_22	RPL36A	1083	1.154997706413269	0.4569505	Yes	
row_23	RPL39	1119	1.1371757984161377	0.47239012	Yes	
row_24	RPSA	1267	1.0764312744140625	0.47926983	Yes	
row_25	RPL27	1390	1.0208773612976074	0.4869774	Yes	
row_26	RPS8	1495	0.9804320931434631	0.49527398	Yes	
row_27	RPS14	1514	0.9723171591758728	0.50928545	Yes	
row_28	RPS15	1559	0.9557430148124695	0.52127105	Yes	
row_29	RPL14	1623	0.9317111372947693	0.5315894	Yes	
row_30	RPL30	1655	0.9205604791641235	0.54390687	Yes	
row_31	RPLP1	1674	0.9149071574211121	0.5570188	Yes	
row_32	RPS2	1795	0.8776231408119202	0.5626177	Yes	
row_33	RPL35	1985	0.816703200340271	0.562575	Yes	
row_34	UBA52	2025	0.8072345852851868	0.5725734	Yes	
row_35	RPL8	2041	0.8025227189064026	0.5841283	Yes	
row_36	RPL41	2200	0.7607738375663757	0.5853151	Yes	
row_37	RPL32	2443	0.7003329992294312	0.57984877	Yes	
row_38	RPS23	2504	0.6851349472999573	0.5865076	Yes	
row_39	RPS11	2564	0.6739974021911621	0.5930599	Yes	
row_40	RPL4	2774	0.622509777545929	0.5886159	Yes	
row_41	RPLP2	2797	0.6174941062927246	0.5967963	Yes	
row_42	RPL17	2838	0.6106216311454773	0.6036463	Yes	
row_43	RPL24	2844	0.6092458367347717	0.6128522	Yes	
row_44	RPL7	2914	0.5959720015525818	0.6175027	Yes	
row_45	RPS13	3063	0.5685703754425049	0.6163573	Yes	
row_46	RPL35A	3090	0.5627759099006653	0.6234087	Yes	
row_47	RPL10A	3110	0.5579591989517212	0.6308601	Yes	
row_48	RPL11	3152	0.5497803092002869	0.6366889	Yes	
row_49	RPS3A	3202	0.5424332022666931	0.6418591	Yes	
row_50	RPS18	3207	0.5414394736289978	0.6500706	Yes	
row_51	RPS5	3246	0.5335795879364014	0.65584934	Yes	
row_52	RPL26	3255	0.532448947429657	0.6636483	Yes	
row_53	RPS15A	3399	0.5087020397186279	0.6619046	Yes	
row_54	RPL27A	3463	0.5001499056816101	0.6654613	Yes	
row_55	RPL12	3469	0.4984784722328186	0.6729318	Yes	
row_56	RPL34	3759	0.44948798418045044	0.6603425	No	
row_57	RPS20	3816	0.43781763315200806	0.6633981	No	
row_58	RPS10	3990	0.41132476925849915	0.6580908	No	
row_59	RPL29	4129	0.39422452449798584	0.6548931	No	
row_60	RPL5	4240	0.37826988101005554	0.6533475	No	
row_61	RPS12	4657	0.32056406140327454	0.63011116	No	
row_62	RPS4X	4683	0.3178572356700897	0.63339305	No	
row_63	RPS29	4729	0.31230610609054565	0.63522935	No	
row_64	RPL31	4828	0.29881376028060913	0.633254	No	
row_65	RPL6	5005	0.27838796377182007	0.62566006	No	
row_66	RPL19	5038	0.2738341689109802	0.62777674	No	
row_67	RPS26	5212	0.25545093417167664	0.6200272	No	
row_68	RPL37	5358	0.23588955402374268	0.6138732	No	
row_69	RPS7	5596	0.21073082089424133	0.6010755	No	
row_70	RPL38	5765	0.19516858458518982	0.5927211	No	
row_71	RPS24	6106	0.16022861003875732	0.57213527	No	
row_72	RPS6	6510	0.11846432089805603	0.54661554	No	
row_73	RPL37A	6546	0.11533286422491074	0.546045	No	
row_74	RPS17	6757	0.09494008868932724	0.5332672	No	
row_75	FARSB	9262	-0.11370187252759933	0.36495152	No	
row_76	RPL23	9601	-0.14873245358467102	0.34432143	No	
row_77	RPL15	9818	-0.17267419397830963	0.33235398	No	
row_78	RPL22	11340	-0.3790178596973419	0.23497061	No	
