NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RGCC	5295	0.24451996386051178	-0.3349576	No	
row_1	CLASP1	5971	0.17198561131954193	-0.3642972	No	
row_2	PHLDB2	7940	-0.0024097005371004343	-0.49718544	No	
row_3	NOTCH1	8001	-0.006835016887634993	-0.5005954	No	
row_4	DAG1	9419	-0.1297835409641266	-0.5841285	No	
row_5	SMAD4	11422	-0.39167481660842896	-0.68238336	Yes	
row_6	TGFB1	11676	-0.4364391267299652	-0.65808743	Yes	
row_7	AGT	12008	-0.507805585861206	-0.63229626	Yes	
row_8	SMAD3	12088	-0.524285078048706	-0.5878961	Yes	
row_9	EMILIN1	12565	-0.6268628239631653	-0.56061685	Yes	
row_10	CLASP2	12576	-0.6291376352310181	-0.5016011	Yes	
row_11	PPARG	12761	-0.6722704768180847	-0.4502625	Yes	
row_12	TGFBR1	13193	-0.7988953590393066	-0.40361705	Yes	
row_13	TIE1	14421	-1.5839422941207886	-0.33632892	Yes	
row_14	PHLDB1	14547	-1.7625792026519775	-0.17755184	Yes	
row_15	TGFBR3	14672	-2.0502851009368896	0.008590224	Yes	
