NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIM1	2552	0.67538982629776	-0.12810135	No	
row_1	BASP1	6053	0.16461293399333954	-0.35411203	No	
row_2	VGLL4	6284	0.14348241686820984	-0.36019903	No	
row_3	NOTCH1	8001	-0.006835016887634993	-0.47588956	No	
row_4	GLI1	8594	-0.05569226294755936	-0.51227766	No	
row_5	GSK3A	8979	-0.08904755115509033	-0.53238416	No	
row_6	RUNX1	9527	-0.1411983221769333	-0.56007725	No	
row_7	TP73	9754	-0.1662655472755432	-0.5643882	No	
row_8	TBX5	9839	-0.17434349656105042	-0.55855465	No	
row_9	EDN1	9884	-0.1810237616300583	-0.54957247	No	
row_10	ERBB4	10309	-0.23337723314762115	-0.5628504	No	
row_11	AKAP6	10449	-0.25222283601760864	-0.55559385	No	
row_12	TBX2	10943	-0.3210482895374298	-0.56774944	No	
row_13	RBP4	11692	-0.4390081465244293	-0.5893703	Yes	
row_14	BMPR1A	11838	-0.47024327516555786	-0.56811535	Yes	
row_15	ZFPM2	12053	-0.5165468454360962	-0.54847115	Yes	
row_16	RBPJ	12475	-0.6080359220504761	-0.5367924	Yes	
row_17	FGF2	12968	-0.7261019349098206	-0.5221185	Yes	
row_18	TGFBR1	13193	-0.7988953590393066	-0.4844964	Yes	
row_19	IGF1	13511	-0.911486804485321	-0.44572982	Yes	
row_20	FGFR2	13925	-1.1416749954223633	-0.39825225	Yes	
row_21	DUSP6	14004	-1.2005388736724854	-0.32421207	Yes	
row_22	MEF2C	14414	-1.5684218406677246	-0.2482687	Yes	
row_23	TGFBR3	14672	-2.0502851009368896	-0.13020104	Yes	
row_24	PROX1	14688	-2.099733352661133	0.007512658	Yes	
