NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL18A	152	2.162087917327881	0.00646151	Yes	
row_1	XRN2	174	2.1096560955047607	0.021475717	Yes	
row_2	RPS9	220	1.9743773937225342	0.03379323	Yes	
row_3	RPP38	226	1.9632148742675781	0.048760053	Yes	
row_4	WDR18	262	1.8979623317718506	0.06116578	Yes	
row_5	DHX37	284	1.8574129343032837	0.074213035	Yes	
row_6	NOC4L	308	1.8083522319793701	0.086740896	Yes	
row_7	DDX49	309	1.80584716796875	0.100822635	Yes	
row_8	RPL10	358	1.7426620721817017	0.11112804	Yes	
row_9	RPS28	392	1.6986372470855713	0.122116275	Yes	
row_10	CSNK1D	396	1.689975619316101	0.13508923	Yes	
row_11	RPS27	416	1.6664422750473022	0.14678414	Yes	
row_12	RPL13	426	1.6523481607437134	0.15905324	Yes	
row_13	RPS3	474	1.605214238166809	0.16835526	Yes	
row_14	FAU	496	1.5739177465438843	0.17919184	Yes	
row_15	RPLP0	576	1.4883899688720703	0.18539381	Yes	
row_16	RPL23A	579	1.4863507747650146	0.19684733	Yes	
row_17	PWP2	597	1.4716941118240356	0.20716044	Yes	
row_18	TBL3	624	1.4547241926193237	0.21672554	Yes	
row_19	RPS21	634	1.444065809249878	0.22737049	Yes	
row_20	RPP25	661	1.4266855716705322	0.23671694	Yes	
row_21	NOL6	701	1.3894152641296387	0.24488345	Yes	
row_22	RPL3	736	1.3537646532058716	0.253114	Yes	
row_23	RPL13A	796	1.3066703081130981	0.25926712	Yes	
row_24	RPS19	815	1.2954676151275635	0.26813763	Yes	
row_25	RPS25	824	1.290390133857727	0.27765265	Yes	
row_26	EXOSC5	831	1.284834384918213	0.28726113	Yes	
row_27	RPL7A	855	1.2735522985458374	0.2956187	Yes	
row_28	RPL21	856	1.2731125354766846	0.30554625	Yes	
row_29	RPL36	876	1.264039397239685	0.31410328	Yes	
row_30	RPS27A	909	1.2427287101745605	0.32160482	Yes	
row_31	RPS16	942	1.2211638689041138	0.32893822	Yes	
row_32	NOP56	968	1.2058964967727661	0.3366314	Yes	
row_33	NHP2	1006	1.1890052556991577	0.34337196	Yes	
row_34	RPL18	1012	1.1861647367477417	0.35227945	Yes	
row_35	RPL28	1048	1.167133092880249	0.3589863	Yes	
row_36	UTP14A	1050	1.1659345626831055	0.36800966	Yes	
row_37	RPL36A	1083	1.154997706413269	0.3748271	Yes	
row_38	RPL39	1119	1.1371757984161377	0.3813003	Yes	
row_39	FBL	1200	1.1026451587677002	0.38442588	Yes	
row_40	ISG20L2	1224	1.0912126302719116	0.3913616	Yes	
row_41	RRP1	1229	1.088731050491333	0.3995777	Yes	
row_42	RPSA	1267	1.0764312744140625	0.40544045	Yes	
row_43	RIOK3	1290	1.0661921501159668	0.41224948	Yes	
row_44	RPL27	1390	1.0208773612976074	0.41343763	Yes	
row_45	SENP3	1402	1.012839913368225	0.42058313	Yes	
row_46	NOB1	1447	0.9973405599594116	0.42535025	Yes	
row_47	RPS8	1495	0.9804320931434631	0.4297803	Yes	
row_48	RPS14	1514	0.9723171591758728	0.43613094	Yes	
row_49	RPS15	1559	0.9557430148124695	0.4405737	Yes	
row_50	PES1	1570	0.9524325132369995	0.44731656	Yes	
row_51	RPL14	1623	0.9317111372947693	0.45102462	Yes	
row_52	RPL30	1655	0.9205604791641235	0.45608237	Yes	
row_53	RPLP1	1674	0.9149071574211121	0.46198532	Yes	
row_54	UTP3	1780	0.885169267654419	0.46170482	Yes	
row_55	RPS2	1795	0.8776231408119202	0.46759066	Yes	
row_56	RPP40	1841	0.8584314584732056	0.4712062	Yes	
row_57	NOP14	1889	0.8450058698654175	0.47458023	Yes	
row_58	RPL35	1985	0.816703200340271	0.4744499	Yes	
row_59	UBA52	2025	0.8072345852851868	0.47807667	Yes	
row_60	RPL8	2041	0.8025227189064026	0.4833085	Yes	
row_61	RIOK1	2067	0.7934329509735107	0.48778534	Yes	
row_62	LTV1	2177	0.7659740447998047	0.48630175	Yes	
row_63	NCL	2181	0.7649381756782532	0.4920614	Yes	
row_64	RPL41	2200	0.7607738375663757	0.49676242	Yes	
row_65	NOP10	2204	0.7602017521858215	0.50248516	Yes	
row_66	BYSL	2280	0.741725742816925	0.50313836	Yes	
row_67	EXOSC10	2291	0.7373737692832947	0.5082042	Yes	
row_68	TSR3	2300	0.73482346534729	0.51338696	Yes	
row_69	RPL32	2443	0.7003329992294312	0.50913405	Yes	
row_70	DDX21	2472	0.6926875710487366	0.5126201	Yes	
