NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VEGFA	258	1.906914472579956	0.011781616	No	
row_1	SIRT6	342	1.7626980543136597	0.033240996	No	
row_2	MYBPC1	618	1.4583431482315063	0.03697042	No	
row_3	IRX3	828	1.2891929149627686	0.042585343	No	
row_4	KDM6B	976	1.2014434337615967	0.051065385	No	
row_5	ADPRHL1	1072	1.158562183380127	0.062420666	No	
row_6	OBSCN	1257	1.0803724527359009	0.06652432	No	
row_7	CFLAR	2123	0.7822945713996887	0.019756353	No	
row_8	SIX4	2219	0.7555450797080994	0.02491535	No	
row_9	BMP2	2227	0.7540362477302551	0.03603266	No	
row_10	CXADR	2859	0.6069017052650452	0.0024734617	No	
row_11	KRT19	3020	0.5765573978424072	4.6240762E-4	No	
row_12	FLII	3666	0.46448954939842224	-0.036237948	No	
row_13	SIX1	3957	0.4168149530887604	-0.049541324	No	
row_14	AKAP13	3974	0.4142450988292694	-0.04425996	No	
row_15	ITGB1	4251	0.3768347501754761	-0.05722642	No	
row_16	CBY1	5144	0.263434499502182	-0.11380696	No	
row_17	DOCK2	5167	0.2610000967979431	-0.11128953	No	
row_18	TMOD3	5190	0.2587127387523651	-0.108807266	No	
row_19	MAML1	5515	0.21815234422683716	-0.12747607	No	
row_20	NEBL	5626	0.2083873152732849	-0.13174906	No	
row_21	SORT1	5839	0.18712376058101654	-0.14328209	No	
row_22	PTGFRN	5999	0.16886936128139496	-0.15149327	No	
row_23	CASQ1	6294	0.14289219677448273	-0.16928002	No	
row_24	TBX3	6317	0.14129070937633514	-0.16860309	No	
row_25	PPP3CA	6322	0.14053215086460114	-0.16671433	No	
row_26	HEY2	6429	0.12803779542446136	-0.17195079	No	
row_27	TMEM182	6792	0.09001718461513519	-0.19517256	No	
row_28	ALPK3	7999	-0.00673975283280015	-0.27704284	No	
row_29	PDGFRA	8069	-0.012406823225319386	-0.28154215	No	
row_30	WDR1	8120	-0.016209490597248077	-0.2846915	No	
row_31	PLD3	8378	-0.03639468923211098	-0.3016007	No	
row_32	CAV2	8480	-0.044354312121868134	-0.3077839	No	
row_33	PDLIM5	8550	-0.05111481621861458	-0.31168807	No	
row_34	SKI	8661	-0.06109170243144035	-0.31822568	No	
row_35	ADAMTS5	8738	-0.06860517710447311	-0.32233673	No	
row_36	DOCK5	9219	-0.11046889424324036	-0.35326475	No	
row_37	CD81	9243	-0.11277694255113602	-0.3530942	No	
row_38	ALPK2	9303	-0.11772577464580536	-0.3552945	No	
row_39	TBX5	9839	-0.17434349656105042	-0.3889789	No	
row_40	SIK1	10189	-0.21747222542762756	-0.40935746	No	
row_41	MYH3	10526	-0.26083093881607056	-0.42818573	No	
row_42	POPDC2	10577	-0.2678808271884918	-0.42746574	No	
row_43	ASB2	10983	-0.3261773884296417	-0.4499794	No	
row_44	DOCK1	11046	-0.334225594997406	-0.449055	No	
row_45	SLC8A1	11117	-0.3444826304912567	-0.4485167	No	
row_46	PDGFRB	11538	-0.41181623935699463	-0.47073323	No	
row_47	CSRP2	11544	-0.4124338626861572	-0.46473202	No	
row_48	MYL9	11756	-0.45233285427093506	-0.47211957	Yes	
row_49	BMPR1A	11838	-0.47024327516555786	-0.47039542	Yes	
row_50	LMOD1	11841	-0.47137948870658875	-0.46328402	Yes	
row_51	TMOD1	11947	-0.49317920207977295	-0.46283853	Yes	
row_52	KCNH1	11970	-0.498224139213562	-0.45667386	Yes	
row_53	ACVR1	12001	-0.5068531632423401	-0.45092025	Yes	
row_54	SORBS2	12045	-0.5144845247268677	-0.44593298	Yes	
row_55	CAPN3	12130	-0.5330908298492432	-0.44344646	Yes	
row_56	TPM1	12390	-0.5889137387275696	-0.45199674	Yes	
row_57	SDC1	12432	-0.5975301861763	-0.44559672	Yes	
row_58	ADAM12	12609	-0.6352993249893188	-0.44779217	Yes	
row_59	OBSL1	12980	-0.7299733757972717	-0.46171856	Yes	
row_60	CSRP1	13011	-0.7378921508789062	-0.4524128	Yes	
row_61	NRG1	13241	-0.8140168786048889	-0.45546302	Yes	
row_62	TMOD2	13302	-0.8312099575996399	-0.4467617	Yes	
row_63	MYOCD	13467	-0.8962528109550476	-0.4441294	Yes	
row_64	IGF1	13511	-0.911486804485321	-0.4330383	Yes	
row_65	MYEF2	13555	-0.9337509870529175	-0.4216049	Yes	
row_66	SHOX2	13585	-0.9505769610404968	-0.4089612	Yes	
row_67	FHOD3	13632	-0.9777957797050476	-0.39705455	Yes	
row_68	CACNA1H	13666	-0.9939852952957153	-0.38401535	Yes	
row_69	MYOM1	13942	-1.1539480686187744	-0.38496593	Yes	
row_70	CD9	14041	-1.228555679321289	-0.37273842	Yes	
row_71	MYH11	14046	-1.2308622598648071	-0.3540861	Yes	
row_72	GREM1	14141	-1.2960491180419922	-0.34054902	Yes	
row_73	PPP3CB	14146	-1.3012170791625977	-0.32081503	Yes	
row_74	TTN	14267	-1.3958895206451416	-0.3075102	Yes	
row_75	TCAP	14272	-1.4078649282455444	-0.28613654	Yes	
row_76	LMOD3	14325	-1.4697771072387695	-0.2670736	Yes	
row_77	FLNC	14368	-1.5155607461929321	-0.24662706	Yes	
row_78	MEF2C	14414	-1.5684218406677246	-0.2255717	Yes	
row_79	KLHL41	14470	-1.657318353652954	-0.2038293	Yes	
row_80	RYR1	14504	-1.7044960260391235	-0.17986618	Yes	
row_81	MEF2A	14530	-1.7403581142425537	-0.15480791	Yes	
row_82	PGM5	14563	-1.7861762046813965	-0.12952101	Yes	
row_83	NEB	14571	-1.7952462434768677	-0.102395356	Yes	
row_84	TBX18	14573	-1.8003506660461426	-0.0747834	Yes	
row_85	MYOM3	14577	-1.8098405599594116	-0.047161475	Yes	
row_86	ADAMTS15	14637	-1.940361738204956	-0.021339241	Yes	
row_87	PROX1	14688	-2.099733352661133	0.0075450353	Yes	
